LOCHWINNOCH (MUIRSHIEL),,,,,,,,,,,,,,,,,,,,
Grid ref,NS310633,Long,-4.699985,Lat,55.833249,Elevation,775,ft,,,,,,,,,,,,
Station no,5291/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,15.85,8.57,5.24,1.28,9.73,,,,,,,,
February,,,,,,,,6.82,12.77,3.17,7.42,2.76,,,,,,,,
March,,,,,,,,9.8,8,9.46,4.29,4.72,,,,,,,,
April,,,,,,,,2.13,5.21,5.47,3.88,4.86,,,,,,,,
May,,,,,,,,6.27,2.03,1.05,5.12,5.22,,,,,,,,
June,,,,,,,,11.05,3.76,1.7,2.12,3.09,,,,,,,,
July,,,,,,,,7.12,8.99,5.7,5.27,6.15,,,,,,,,
August,,,,,,,,5.37,2.92,3.35,6.95,10,,,,,,,,
September,,,,,,,,9.64,4.61,7.79,3.68,11.48,,,,,,,,
October,,,,,,,,18.28,3.49,9.13,9.01,11.52,,,,,,,,
November,,,,,,,,18.08,15.97,13.02,7.84,2.3,,,,,,,,
December,,,,,,,,8.07,7.11,13.29,6.11,15.68,,,,,,,,
Total,,,,,,,,118.48,83.43,78.37,62.97,87.51,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location approximate,,,,,,,,,,,,,,,,,,,,
Station no,5291/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd St,,,,,,,,,,,,,,,,,,,,
