"CALDER WATER ( MUIRSHIEL MILL ) +A",,,,,,,,,,,,
Grid ref,NS310633,Long,-4.699985,Lat,55.833249,,,,,,,
Station no,5291/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,5.35,8.56,5.46,5.62,10.61,10.84,3.27,6.77,,
February,,-999.00,4.45,7.55,5.14,2.96,5.00,6.38,3.95,9.87,,
March,,100.00,2.29,6.20,2.58,4.31,9.89,2.49,6.90,3.48,,
April,,4.42,4.45,3.91,6.42,2.24,4.54,2.93,5.88,9.19,,
May,,2.55,3.67,4.21,6.89,5.45,3.65,5.86,2.48,3.60,,
June,,6.00,2.28,7.74,5.04,5.44,3.40,4.33,4.43,4.97,,
July,,6.02,7.68,5.89,1.95,7.38,7.91,7.92,8.52,8.11,,
August,,9.70,6.27,8.19,1.68,8.41,8.24,6.62,2.02,5.79,,
September,,5.92,9.58,11.94,7.61,7.26,5.74,6.66,2.19,5.16,,
October,,10.16,5.99,14.88,6.03,6.32,10.50,6.62,9.76,4.26,,
November,,3.64,12.38,14.01,4.28,4.23,3.93,3.60,8.90,10.71,,
December,,9.39,9.01,10.65,13.01,12.01,10.67,10.09,13.93,11.89,,
Total,,-999.00,73.40,103.73,66.09,71.63,84.08,74.34,72.23,83.80,,
Calc annual,0.00,157.80,73.40,103.73,66.09,71.63,84.08,74.34,72.23,83.80,,
Difference,NaN,-1156.80,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
