"POOLWE (INVEREWE)",,,,,,,,,,,,
Grid ref,NG864820,Long,-5.593890,Lat,57.776603,,,,,,,
Station no,5785,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.41,5.80,9.31,6.24,6.92,4.75,,
February,,,,,4.71,4.50,3.58,5.82,2.95,4.80,,
March,,,,,1.51,0.96,4.63,3.36,3.74,3.14,,
April,,,,,3.11,2.91,2.90,4.17,4.87,6.69,,
May,,,,,3.29,4.33,1.90,7.28,2.50,2.12,,
June,,,,,3.08,2.94,3.89,1.51,5.48,5.09,,
July,,,,,1.02,6.33,3.66,2.31,7.91,2.99,,
August,,,,,2.31,4.97,7.25,4.69,7.39,4.34,,
September,,,,,6.51,3.00,5.36,3.22,3.34,3.75,,
October,,,,,,6.12,10.15,7.01,8.83,1.71,,
November,,,,,,7.59,4.83,3.16,5.90,5.50,,
December,,,,,,10.86,8.98,5.07,9.59,9.52,,
Total,,,,,,60.31,66.44,53.84,69.42,54.40,,
Calc annual,0.00,0.00,0.00,0.00,28.95,60.31,66.44,53.84,69.42,54.40,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
