"NEWCASTLE CHRONICLE OFFICE",,,,,,,,,,,,
Grid ref,NZ248639,Long,-1.614149,Lat,54.969109,,,,,,,
Station no,RR2677,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.82,1.75,1.16,2.36,1.95,0.40,2.08,0.34,1.42,0.81,,
February,6.54,1.67,1.15,1.53,2.82,0.70,0.82,0.96,1.32,1.45,,
March,1.77,1.61,0.61,1.15,1.17,1.15,1.13,0.92,3.67,4.99,,
April,1.25,1.14,1.25,1.37,1.37,2.76,1.25,2.05,2.80,2.86,,
May,1.61,1.04,2.20,2.27,2.65,0.46,4.30,4.22,1.66,1.58,,
June,4.57,2.88,1.78,2.96,1.86,1.15,1.30,2.95,0.25,2.22,,
July,1.49,3.10,3.12,4.52,1.28,2.19,1.45,1.47,3.04,2.19,,
August,6.58,2.04,2.60,1.76,2.12,1.98,2.83,2.16,1.41,3.08,,
September,0.77,1.50,0.32,1.24,0.94,1.63,0.42,0.51,1.57,1.65,,
October,6.94,1.91,2.53,8.66,0.69,2.42,3.73,5.34,1.18,1.98,,
November,2.99,5.59,1.11,2.38,2.96,3.15,2.82,1.35,1.19,0.55,,
December,1.85,2.68,2.74,1.98,1.64,0.31,3.28,3.03,0.86,4.03,,
Total,39.18,26.91,20.57,32.18,21.45,18.30,25.41,25.30,20.37,27.39,,
Calc annual,39.18,26.91,20.57,32.18,21.45,18.30,25.41,25.30,20.37,27.39,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
