"SIRFORD GOWER VICARAGE",,,,,,,,,,,,
Grid ref,SP350378,Long,-1.491170,Lat,52.037504,,,,,,,
Station no,1030/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,1.81,1.16,1.09,,,,,,,,
February,3.41,0.71,1.54,2.78,,,,,,,,
March,3.88,2.67,0.75,2.26,,,,,,,,
April,2.88,1.84,1.91,0.48,,,,,,,,
May,3.21,2.52,1.29,2.49,,,,,,,,
June,0.88,1.55,2.07,2.49,,,,,,,,
July,0.80,0.27,2.50,2.47,,,,,,,,
August,4.40,3.06,2.75,3.64,,,,,,,,
September,2.24,0.80,2.04,2.39,,,,,,,,
October,0.85,4.22,3.12,2.75,,,,,,,,
November,6.29,3.78,1.20,6.03,,,,,,,,
December,2.07,2.60,0.92,2.22,,,,,,,,
Total,33.69,25.83,21.25,31.09,,,,,,,,
Calc annual,33.69,25.83,21.25,31.09,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
