WITHINGTON TOWN HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ842921,Long,-2.2379891,Lat,53.425824,Elevation,121,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,2.14,2.74,3.65,,2.5,2.24,3.76,1.91,2.62,2.98,7.14,1.54,3.99,4.44,3.06,1.76,1.83,1.78,2.84,,,,
February,,,,,,,,,3.78,0.57,3.09,,3.1,4.2,0.64,5.02,2.69,1.29,3.22,0.93,0.16,3.25,0.04,2.69,0.21,2.7,1.53,,,,
March,,,,,,,,,1.39,4.96,3.25,,1.78,1.52,0.49,1.3,1.15,3.01,1.76,0.86,2.35,0.02,1.6,2.51,1.96,1.04,1.14,,,,
April,,,,,,,,,0.99,1.88,4.49,,2.66,2.27,1.72,1.67,1.18,1.86,0.86,0.85,1.22,3.01,2.44,0.98,1.35,2.28,0.71,,,,
May,,,,,,,,,2.49,1.51,4.19,,1.25,2.73,5.49,4.31,3.38,1.32,1.39,2.27,1.2,2.59,4.2,1.27,1.61,0.66,0.52,,,,
June,,,,,,,,,1.61,1.7,2.31,,2.34,0.57,2.67,0.04,1.71,4.86,5.34,0.94,2.63,4.95,0.25,3.65,1.85,3.11,2.58,,,,
July,,,,,,,,,3.85,2.03,6.44,,3.57,5.05,3.44,2.07,2.47,1.8,1.42,3.02,6.17,3.57,2.64,2.19,1.91,1.2,3.05,,,,
August,,,,,,,,4.83,2.81,3.01,1.65,,4.31,4.59,5.59,4.77,4.04,3.49,4.9,2.8,4.63,6.42,1.51,1.71,1.99,1.21,1.66,,,,
September,,,,,,,,1.65,7.65,1.75,2.23,,2.91,3.53,2.53,4.25,3.26,4.9,0.94,1.84,2.74,2.92,2.63,1.02,1.5,5.08,3.28,,,,
October,,,,,,,,4.69,2.75,2.18,1.28,,0.23,4.01,3.71,3.93,3.68,1.93,3.37,4.99,4.58,1.34,6.37,4.11,4.11,4.47,3,,,,
November,,,,,,,,3.15,1.47,2.35,0.6,,2.06,4.15,1.02,2.11,5.05,2.86,4.24,6.47,3.74,5.44,2.34,0.94,1.26,3.94,2.6,,,,
December,,,,,,,,1.36,5.88,5.48,2.33,,3.66,4.3,3.52,2.35,1.71,0.95,1.71,4.97,2.52,0.98,1.04,0.21,4.22,2.9,2.72,,,,
Total,,,,,,,,,36.81,30.16,35.51,,30.37,39.16,34.58,33.73,32.94,31.25,36.29,31.48,35.93,38.93,28.12,23.04,23.8,30.37,25.63,,,,
