"SABDEN (CHURN CLOGH RES.)",,,,,,,,,,,,
Grid ref,SD785382,Long,-2.328215,Lat,53.839599,,,,,,,
Station no,2983,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,4.05,4.20,3.60,1.60,5.40,1.85,3.75,1.97,,
February,,,1.00,3.90,3.97,2.30,3.50,2.70,3.25,3.98,,
March,,,3.10,6.30,1.80,3.48,3.10,3.80,3.75,2.40,,
April,,3.25,2.25,2.28,2.35,3.70,1.30,2.20,2.53,3.76,,
May,,1.70,3.44,2.45,2.85,0.80,4.70,3.95,2.99,2.04,,
June,,1.51,1.15,1.50,1.30,2.16,2.70,6.38,0.90,2.20,,
July,,1.93,3.34,3.35,1.75,2.10,1.95,2.20,4.34,6.11,,
August,,2.60,3.20,4.66,4.90,3.90,3.35,4.35,4.52,3.10,,
September,,1.32,1.31,4.56,1.46,2.40,1.10,0.90,4.20,2.48,,
October,,3.60,3.82,9.42,1.75,3.20,6.75,4.45,1.85,4.65,,
November,,6.81,2.17,2.47,3.07,4.90,4.95,2.40,3.70,1.85,,
December,,6.45,3.01,2.15,3.05,0.85,4.10,5.10,2.66,6.10,,
Total,,,31.84,47.24,31.85,31.39,42.90,40.28,38.44,40.64,,
Calc annual,0.00,29.17,31.84,47.24,31.85,31.39,42.90,40.28,38.44,40.64,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
