"ASHORNE, Victoria Cottage weekly gauge",,,,,,,,,,
Grid ref,SP306572,Long,-1.553574,Lat,52.212174,Elevation,160,ft,,
Station no,2448,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,0.9,2.52,1.12,,,
February,,,,,1.34,2.67,3.39,,,
March,,,,,3.03,1.13,4.01,,,
April,,,,,0.81,0.6,1.44,,,
May,,,,,1.15,2.19,2.21,,,
June,,,,,2.61,1.47,1.51,,,
July,,,,,2.28,3.86,2.42,,,
August,,,,,1.61,1.93,2.67,,,
September,,,,,0.91,1.18,0.95,,,
October,,,,,2.11,2.01,2.25,,,
November,,,,,2.99,2.33,2.89,,,
December,,,,,5.82,3.84,2.86,,,
Total,,,,,25.56,25.73,27.72,,,
