"ASHORNE (VICTORIA COTTAGE)",,,,,,,,,,,,
Grid ref,SP306572,Long,-1.553574,Lat,52.212174,,,,,,,
Station no,2448,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,1.57,0.97,0.86,1.90,3.38,1.22,2.66,4.06,3.98,,
February,2.53,0.53,1.16,2.32,1.33,0.65,2.54,3.33,0.10,1.57,,
March,3.92,1.88,1.08,1.92,1.77,0.80,2.02,1.08,2.12,0.87,,
April,2.38,1.95,1.77,0.63,0.90,0.73,0.16,0.53,2.78,0.67,,
May,3.34,2.35,1.10,2.97,4.25,0.75,1.30,2.02,0.41,1.22,,
June,1.04,1.42,1.19,2.50,2.52,2.27,1.01,4.35,0.58,2.65,,
July,0.98,0.33,3.12,2.45,0.42,1.73,3.20,2.68,1.25,2.87,,
August,5.96,4.25,3.08,3.31,0.20,5.13,2.60,2.97,0.82,3.67,,
September,1.65,1.08,1.71,2.35,1.34,2.29,3.41,3.48,0.15,3.56,,
October,0.96,3.04,2.12,2.73,1.27,1.61,1.32,2.30,2.29,3.87,,
November,4.78,2.39,1.05,4.35,1.02,0.69,1.54,2.37,1.83,3.03,,
December,1.61,2.26,0.93,1.89,1.82,2.88,2.25,2.21,3.26,3.41,,
Total,31.44,23.05,19.28,28.28,18.74,22.91,22.57,29.98,19.65,31.37,,
Calc annual,31.44,23.05,19.28,28.28,18.74,22.91,22.57,29.98,19.65,31.37,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
