SOUTH MILFORD YORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE492314,Long,-1.25491,Lat,53.776618,,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,2.13,2.5,1.63,0.81,3.04,2.23,0.93,3.3,1.12,3.06,1.82,1.3,0.26,0.66,1.87,2.75,3.09,1.37,3.62,2.08,0.66,1.23,2.38,1.13,1.43,1.44,1.51,3.48,0.46,2.19,0.56,2.38,2.96,0.93,1.17,1.73,2.44,0.69,3.13,0.93,,
February,,,,,,,,,1.3,1.02,1.36,1.84,2.57,1.38,1.16,1.79,2.21,2.05,1.08,2.79,1.6,3.41,1.84,2.07,2.28,2.13,0.84,0.39,0.92,1.03,0.84,0.07,1.79,2.6,3.58,0.18,0.76,2.53,1.25,1.03,3.41,1.55,1.33,1.49,3.18,1.13,2.15,1.38,,
March,,,,,,,,,1.26,1.6,1.81,0.82,2.32,2.5,1.34,0.55,2.93,2.85,0.78,1.86,2.49,2.95,1.74,1.46,1.53,1.66,2,1.49,2.64,2.43,1.45,1.53,0.95,0.23,1.3,2.02,2.4,2.12,0.99,1.09,0.67,2.02,0.9,2.69,1.99,2.33,1.32,1.6,,
April,,,,,,,,,2.01,3.25,0.55,3.06,3.49,0.79,1.52,0.46,2.26,3.29,2.19,2.48,1.75,1.3,4.14,2.68,1.63,1.36,1.5,0.65,1.7,2.43,0.85,1.69,0.91,0.45,2.04,1.22,0.99,2.15,2.11,1.89,0.99,1.68,1.77,1.27,1.94,2.33,1.19,1.55,,
May,,,,,,,,,0.98,2.5,0.92,1.61,1.36,2.2,1.18,1.6,0.67,2.25,3.18,2.41,2.72,1.06,1.56,1.41,0.73,1.6,3.76,2.2,0.55,3.6,2.38,2.69,3.26,1.88,1.76,0.61,0.51,1.29,1.85,2.52,1.27,1.33,2.75,3.46,2.52,0.69,1.99,3.64,,
June,,,,,,,,,0.67,0.25,2.49,4.87,4.13,1.61,1.51,2.52,1.91,1.32,3.85,4.24,3.46,1.51,4.68,4.31,0.86,2.29,0.61,0.13,2.25,0.52,2.1,1.11,4.27,1.06,2.42,2.82,2.03,2.53,1.85,1.67,3.89,1.74,1.86,1.96,1,2.31,0.88,2.8,,
July,,,,,,,,3.55,0.37,1.25,0.82,3.83,6.26,2.81,1.42,4.64,2.02,2.99,0.93,4.68,5.49,1.87,3.18,2.74,2.41,1.43,,1.4,4.87,1.06,1.55,2.78,2.44,3.11,2.72,5.04,1.26,0.69,1.35,0.79,2.09,1.49,2.15,2.9,2.3,1.28,1.84,2.32,,
August,,,,,,,,3.87,1.25,2.15,1.95,1.78,2.36,2.62,1.68,2.54,1.7,5.06,5.15,3.19,2,4.5,1.94,1.08,1.01,1.1,2.31,2.05,1.62,4.18,3.23,4.04,2.54,2.18,2.64,2.14,2.08,3.17,3.65,0.91,6.1,1.23,3.01,2.69,3.97,3.86,2.96,2.04,,
September,,,,,,,,2.39,3.05,3.52,0.93,6.62,4.28,2.19,2.66,2.69,3.51,2.68,2.72,1.93,4.17,3.21,1.74,4.83,1.07,2.03,1.37,2.41,0.88,1.25,2.04,1.33,1.38,1.59,0.73,0.72,3.18,2.63,0.73,3.15,0.46,0.84,0.76,3.5,1.29,1.93,0.83,0.93,,
October,,,,,,,,1.83,2.56,-999,6.15,2.24,4.34,1.99,1.75,4.61,2.45,3.09,1.58,0.73,4.99,2.52,4.7,2.79,1.04,4.26,3.75,1.89,0.87,3.33,0.98,3.31,5.64,2.08,3.12,3.07,3.91,1.41,3.13,2.08,2.98,2.05,2.66,7.72,0.72,1.63,5.24,5.57,,
