NEW-MALDEN-HIGH-DRIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ203696,Long,-0.27119,Lat,51.41266,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,151/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.04,3.93,3.91,2.39,3.99,2.35,2.59,2.75,4.7,1.38,1.87,1.53,1.44,3.14,1.26,0.95,3.32,1.93,1.06,1.23,2.44,3.59,1.89,1.88,2.26,1.79
February,,,,,2.5,1.73,4.14,0.41,0.79,1.54,2.01,0.68,1.77,0.83,1.35,2.48,1.35,1.47,1.06,3.8,5.78,0.96,1.27,2.05,1.47,0.4,2.78,2.19,0.06,1.39
March,,,,,0.22,1.06,2.96,0.38,0.99,3.22,3.29,2.09,0.3,0.09,1.02,1.24,5.07,0.68,0.93,0.65,3.02,3.2,0.44,2.24,1.03,0.72,0.76,1.08,1.97,1.6
April,,,,,3.04,1.75,2.04,0.13,2.33,1.69,1.52,0.98,0.81,1.5,1.24,2.34,1.71,1.27,1.71,2.82,2.59,1.48,2.13,0.35,0.27,1.12,0.27,1.2,1.72,0.58
May,,,,,1.13,0.69,2.71,1.43,1.45,1.17,1.66,2.56,1.72,1.1,2.8,3.17,1.66,1.99,1.94,1.71,2.18,3.61,1.04,2.77,3.98,0.2,1.42,2.3,0.93,2.1
June,,,,,3.85,2.92,1.94,0.51,1.05,0.72,2.37,2.78,1.3,2.13,1.6,2.43,2.14,2.24,0.56,1.36,0.9,2,1.28,4.05,2.4,1.72,0.84,4.13,0.92,1.3
July,,,,,1.29,2.4,0.66,1.41,2.48,3.37,4.17,2.12,1.3,2.32,3.2,1.15,1.32,1.04,1.78,3.34,1.42,0.65,4.14,2.95,0.41,3.97,2.81,1.96,1.37,3.38
August,,,,,2.35,0.7,3.04,2.55,3.94,0.16,5.22,1.99,1.2,2.19,1.49,4.28,0.22,3.25,1.54,1.54,2.88,2.38,1.29,3.39,1.02,2.27,4.82,3.61,1.66,3.32
September,,,,,3.08,2.2,1.68,2.27,1.28,1.58,0.36,1.29,1.85,2.3,1.59,3,1.21,1.06,0.49,2.69,2.75,2.76,2.11,2.16,1.48,1.85,2.38,3.79,0.04,2.72
October,,,,,2.75,2.12,2.47,2.15,5.62,2.33,0.96,3.86,2.79,2.69,2.25,0.98,0.13,2.17,5.02,0.35,0.79,2.66,3.03,2.2,2.78,1.55,1.74,2.75,1.98,4.79
November,,,,,4.54,3.17,1.31,3.94,4.42,7.07,2.67,2.2,1.19,3.65,0.26,3.23,1.26,1.57,2.29,5,5.65,3.1,0.99,3.74,0.73,0.52,2.42,1.66,2.74,3.18
December,,,,,2.29,1.97,4.41,3.19,1.06,1.16,1.77,2.65,1.48,1.24,2.97,2.3,2.46,3.02,1.33,1.8,2.04,2.39,0.78,1.74,2.14,2.58,1.77,2.6,3.09,2.2
Total,,,,,28.08,24.64,31.27,20.76,29.4,26.36,28.59,25.95,20.41,21.42,21.64,28.13,19.97,22.9,19.91,26.01,33.32,27.12,19.56,28.87,20.15,20.49,23.9,29.15,18.74,28.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no at top of sheet changed to 155/6 on 1940 and 1950 sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived at 36 High Drive opposite Woodlands Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
