GLENMORISTON (CLUANIE LODGE),,,,,,,,,,
Grid ref,NH097109,Long,-5.147429,Lat,57.149422,Elevation,750,ft,,
Station no,5766/9,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.07,13.82,,,
February,,,,,,3.47,7.76,,,
March,,,,,,4.35,1.83,,,
April,,,,,,2.13,2.16,,,
May,,,,,,2.78,4.82,,,
June,,,,,,2.16,3.49,,,
July,,,,,,6.37,4.5,,,
August,,,,,,4.69,4.11,,,
September,,,,,,4.08,8.48,,,
October,,,,,,6.13,3.26,,,
November,,,,,,5.36,1.1,,,
December,,,,,,20,3.35,,,
Total,,,,,,65.59,58.68,,,
,,,,,,,,,,
1938 Record unreliable Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5766/9,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
