GLENSHIEL CLUANIE FOREST,,,,,,,,,,,,,,,,,,,,
Grid ref,NH097109,Long,-5.147429,Lat,57.149422,Elevation,800,ft,,,,,,,,,,,,
Station no,5766/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,6.9,9.52,8.9,11.4,14.91,12.63,6.21,12.41,9.65,6,,,,,,,,,
February,,3.94,0.98,17.94,5.68,7.97,4,10.27,9.27,5.9,,,,,,,,,,
March,,5.3,11.4,17.75,5.6,5.77,8.22,8.11,10.74,1.05,,,,,,,,,,
April,,3.24,3.5,4,12.53,4.51,4.56,4.25,3.15,4.05,,,,,,,,,,
May,,1.88,4.89,5.2,6.9,4.92,2.75,5.18,4.7,5.1,,,,,,,,,,
June,,4.11,2.18,3.34,6.92,2.8,1.22,12.33,6.58,2,,,,,,,,,,
July,,3.57,2.98,5.67,3.27,2.91,8.26,3.37,3.2,5,,,,,,,,,,
August,,5.12,4.94,14.6,7.2,10.19,5.21,9.62,6,4.98,,,,,,,,,,
September,,4.77,6.3,7.2,7.12,8.77,4.39,3.25,9.1,3.05,,,,,,,,,,
October,,8.25,10.32,16.15,8,8,11.93,4.17,2.95,9.5,,,,,,,,,,
November,,7.88,5.22,10,6.43,7.25,12.61,10.04,8.82,9.3,,,,,,,,,,
December,,9.23,12.56,6.03,16.1,9.04,9.1,9.73,10.4,7,,,,,,,,,,
Total,,64.19,74.79,116.78,97.15,87.04,84.88,86.53,87.32,66.58,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1910 small by 6""?",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5766/9,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
