"LOCH NESS, DRUMNADROCHIT",,,,,,,,,,,,,,,,,,,
Grid ref,NH 509 296,Long,-4.477197,Lat,57.332596,Elevation,104,ft,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898
January,,,,,,,4.29,3.72,2.89,1.94,7.22,3.21,5.64,2.16,3.75,2.46,3.05,1.66,3.07
February,,,,,,,1.37,3.83,1.65,4.14,0.58,1.8,2.39,4.87,7.48,0.83,1.31,2.42,5.88
March,,,,,,,1.05,1.83,4.06,2.44,3.41,2.87,2.03,1.2,4.34,7.2,3.3,2.65,2.53
April,,,,,,,1.79,1.59,1.63,2.07,1.66,0.73,1.58,1.61,0.41,2.37,2.27,1.83,1.66
May,,,,,,,3.64,0.79,1.38,1.2,1.21,2.93,2.65,1.03,3.65,1.67,0.85,2.5,2.61
June,,,,,,,0.71,1.37,1.26,0.33,2.36,1.25,2.46,2.34,1.66,4.94,3.55,3.21,
July,,,,,,,2.88,2.41,5.4,1.79,3.09,5.44,2.4,2.36,3.29,2.14,2.09,2.22,
August,,,,,,,1.3,1.94,1.93,4.76,3.25,3.42,3.9,2.65,5.55,3.64,1.78,2.82,
September,,,,,,,3.48,3.64,1.18,1.19,1.74,3.56,4.08,3.39,0.6,2.27,4.01,4.48,
October,,,,,,,2.03,2.56,4.23,2.31,4.54,2.04,6.5,4.31,1.96,3.93,8.42,1.86,
November,,,,,,,4.17,2.74,5.38,2.89,3.1,1.6,2.96,4,2.19,2.88,1.15,2.87,
December,,,,,,,3.55,2.91,1.36,2.25,0.62,5.26,2.73,5.84,4.97,3.91,3.41,5.77,
Total,,,,,,,30.26,29.33,32.35,27.31,32.78,34.11,39.32,35.76,39.85,38.24,35.19,34.29,
,,,,,,,,,,,,,,,,,,,
1880-5 Deleted all estimated,,,,,,,,,,,,,,,,,,,
1898 May Gauge  move,,,,,,,,,,,,,,,,,,,
