PATRINGTON FLAX WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA299232,Long,-0.034,Lat,53.689,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882
January,,2.37,0.53,1.65,2.46,1.60,2.42,1.54,1.84,1.20,1.76,2.96,0.40,0.62,2.78,2.00,1.40,2.50,0.58,0.58,0.60,2.89,1.43,2.27,1.19,1.01,2.62,1.77,0.99,1.91,1.61,2.52,2.45,1.09,0.21,0.64,1.74
February,,2.20,3.00,0.65,0.52,0.52,1.32,3.12,0.75,1.70,0.75,0.83,0.18,1.02,1.28,1.70,0.50,0.32,1.38,0.74,1.26,0.86,1.21,1.61,1.62,1.54,2.04,1.54,1.39,1.10,2.34,2.62,1.23,2.82,1.51,3.04,1.22
March,,1.14,2.58,0.07,1.60,2.16,0.48,1.82,0.44,0.51,0.32,1.74,1.36,0.98,1.92,1.22,2.46,1.12,1.48,0.10,2.00,1.88,1.93,2.49,1.83,0.63,2.71,1.97,1.05,0.64,2.47,2.57,1.12,1.05,2.66,2.06,1.22
April,4.80,1.20,1.70,1.56,0.88,1.43,0.00,1.22,0.44,0.30,2.42,2.56,0.46,3.08,0.68,0.76,0.64,1.18,0.78,0.10,0.58,2.44,1.91,1.61,0.67,3.00,2.47,0.97,0.83,0.39,2.86,3.55,1.09,1.45,1.64,1.04,3.47
May,1.26,4.84,0.80,2.00,1.02,0.71,0.85,2.96,1.96,0.75,4.26,0.56,2.20,0.68,2.74,0.60,1.84,0.46,1.18,1.94,0.92,1.74,0.34,5.62,0.94,1.36,1.47,2.82,0.96,1.31,1.05,1.35,2.74,3.06,1.00,0.80,1.86
June,2.45,2.60,3.50,2.50,1.40,2.76,2.90,1.88,0.94,1.19,1.62,0.60,0.54,1.90,3.54,1.64,1.74,1.68,0.78,1.04,3.10,1.86,0.70,1.07,2.46,2.90,2.41,1.20,0.75,2.55,1.74,1.41,2.58,3.79,2.34,0.99,3.04
July,,0.20,3.92,2.32,3.16,3.12,0.56,2.28,1.12,3.38,1.76,2.24,3.02,1.10,3.50,3.30,1.36,1.72,0.40,1.68,2.64,2.22,0.65,0.37,0.42,3.50,3.81,2.87,1.49,4.03,2.20,2.50,0.40,3.35,4.56,1.62,2.52
August,2.17,0.20,2.62,1.25,1.24,1.96,1.90,1.01,1.50,2.56,3.00,4.47,1.78,2.54,3.20,0.34,1.14,2.26,1.10,5.30,2.60,1.67,4.03,1.95,1.42,1.44,2.77,2.67,2.38,0.94,1.62,3.77,4.50,2.55,1.47,4.69,3.64
September,0.30,-999.00,3.68,2.43,2.52,1.54,5.90,1.27,0.34,0.22,2.81,1.88,1.70,2.20,2.30,1.30,3.42,1.60,0.90,0.03,3.24,2.42,1.97,2.71,1.22,4.37,2.95,2.66,1.71,2.31,3.18,3.88,2.50,2.61,5.04,3.28,1.65
October,3.70,-999.00,3.83,2.32,2.40,1.30,2.40,2.25,2.90,5.50,2.14,0.73,2.26,1.90,1.38,0.66,1.70,2.20,1.18,2.24,2.08,2.07,2.78,1.92,5.34,1.87,2.78,2.63,1.60,3.81,2.01,1.70,2.46,1.48,5.33,2.44,5.26
November,,2.38,1.49,1.78,1.62,3.00,4.30,1.16,2.80,1.78,1.27,1.18,1.86,1.30,2.70,3.80,1.26,2.40,1.40,1.44,2.20,1.28,1.11,2.02,1.97,1.73,3.88,1.19,2.83,5.12,3.79,1.73,5.13,1.85,2.54,2.01,3.12
December,2.36,3.32,1.95,3.10,0.46,0.95,1.40,2.20,2.40,2.24,1.96,0.12,1.40,1.84,2.56,1.30,1.26,1.40,1.00,0.80,1.30,3.01,5.47,4.21,3.44,1.93,3.73,0.34,2.51,0.96,5.78,2.22,3.12,0.72,2.46,2.26,4.66
Total,,22.75,29.60,21.63,19.28,21.05,24.43,22.71,17.43,21.33,24.07,19.87,17.16,19.16,28.58,18.62,18.72,18.84,12.16,15.99,22.52,24.34,23.53,27.85,22.52,25.28,33.64,22.63,18.49,25.07,30.65,29.82,29.32,25.82,30.76,24.87,33.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1/096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1/097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt2/016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_10_pt1/015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# September-October 1847 are grouped into a single aggregate reading of 2.30 on the sheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Sheet TYRain_1840-1849_E_pt1/097 actually contains data for the 1850s, not the 1840s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# There seems to be a new gauge used from 1867 onwards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The 1880-1882 readings are duplicated on the first Patrington Rose Cottage sheet, but they belong to the Flax Mill site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The site was Enholmes Flax Mill about a mile north-west of Patrington village.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The observer W.B.Pugh was a manager there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The Flax Mil closed in 1881, and readings for the site end in 1882.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The Flax Mill location is only made explicit on the final sheet for the site, the 1880s sheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The 1880s sheet also indicates that the gauge then moved to the village, where Mr Pugh continued observations at Rose Cottage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
