PATRINGTON NR HULL YORKS,,,,,,,,,,
,,,,,,,,,,
Station no,3391,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,2.37,0.53,1.65
February,,,,,,,,2.2,3,0.65
March,,,,,,,,1.14,2.58,0.07
April,,,,,,,4.8,1.2,1.7,1.56
May,,,,,,,1.26,4.84,0.8,2
June,,,,,,,2.45,2.6,3.5,2.5
July,,,,,,,,0.2,3.92,2.32
August,,,,,,,2.17,0.2,2.62,1.25
September,,,,,,,0.3,-999,3.68,2.43
October,,,,,,,3.7,-999,3.83,2.32
November,,,,,,,,2.38,1.49,1.78
December,,,,,,,2.36,3.32,1.95,3.1
Total,,,,,,,,22.75,29.6,21.63
