SLOUGH-BAYLIS-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU970808,Long,-0.60342,Lat,51.517803,Elevation,90,ft,,,,,,,,,,,,
Station no,994/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.55,4.11,1.13,0.64,2.83,1.74,0.89,0.86,2.49,3.95,1.46,3.28,2.14,2.35
February,,,,,,,1.09,0.96,1.02,3.49,4.79,0.79,1.39,2.16,1.09,0.16,2.95,3.09,0.1,2.14
March,,,,,,,5.17,0.79,1.38,0.72,3.46,3.05,0.41,2.18,1.05,0.7,1.19,1.45,2.24,1.34
April,,,,,,,1.56,1.4,1.13,2.32,2.54,1.52,2.22,0.42,0.36,1.15,0.24,1.19,2.94,0.58
May,,,,,,,1.59,2.93,2.18,1.62,2.17,2.35,1.27,2.63,4.43,0.21,0.89,2.87,0.71,2.08
June,,,,,,,,2.36,0.31,1.63,1.01,1.2,1.26,3.72,2.1,1.93,0.8,4.01,0.61,1.65
July,,,,,,2.03,2.59,1.13,0.56,4.35,1.29,0.47,3.16,2.28,0.19,3.83,3.99,3.06,3.31,4.14
August,,,,,,3.99,0.31,2.94,1.65,3.34,2.85,4.33,1.84,2.91,1.06,3.47,2.02,3.34,1.62,2.98
September,,,,,,3.68,1.16,2.07,1.07,2.4,3.27,3.16,2.24,1.96,1.57,2.99,2.59,3.64,0.04,3.49
October,,,,,,1.58,0.1,2.1,6.15,0.41,0.91,2.97,2.69,2.52,3.85,2.38,1.94,2.4,2.81,8.57
November,,,,,,4.17,1.12,1.96,2.27,4.77,6.06,3.12,1.52,4.4,2.36,0.42,2.2,2.04,2.1,4.09
December,,,,,,1.97,2.28,2.81,1.32,1.53,1.68,2.45,0.56,1.88,2.21,3.05,2.01,4.06,3.56,2.83
Total,,,,,,,,25.56,20.17,27.22,32.86,27.15,19.45,27.92,22.76,24.24,22.28,34.43,22.18,36.24
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1947 Jun estimated,,,,,,,,,,,,,,,,,,,,
1949 Jun IDR,,,,,,,,,,,,,,,,,,,,
