BALLYMONEY RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,IC949258,Long,-6.51467,Lat,55.07114,Elevation,170,ft,,,,,,,,,,,,
Station no,RR2717,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,6,4.76,4.25,3.24,3.59,,,,,,,,,
February,,,,,,,3.53,2.53,2.58,4.39,2.85,,,,,,,,,
March,,,,,,,3.65,1.81,4.35,2.1,1.19,,,,,,,,,
April,,,,,,,1.34,4.29,2.03,2.09,1.5,,,,,,,,,
May,,,,,,,1.46,1.94,2.8,1.54,1.8,,,,,,,,,
June,,,,,,,2.25,2.61,0.69,2.01,2.28,,,,,,,,,
July,,,,,,,2.46,5.35,0.67,1.85,1.51,,,,,,,,,
August,,,,,,,4.38,2.81,4.79,2.36,1.49,,,,,,,,,
September,,,,,,,4.5,2.14,1.25,4.2,3.17,,,,,,,,,
October,,,,,,,2.04,7,2.65,1.97,7.28,,,,,,,,,
November,,,,,,,5.18,1.53,4.45,6.86,2.91,,,,,,,,,
December,,,,,,,4.13,2.99,4.73,4.03,2.68,,,,,,,,,
Total,,,,,,,40.92,39.76,35.24,36.64,32.25,,,,,,,,,
