DUNSTABLE-KENSWORTH (THE GROVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL030181,Long,-0.505983,Lat,51.852,Elevation,630,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.92,3.47,3.53,3.65,,2,1.3,4.39,3.23,1.8,2.95,1.57,4.63,1.96,1.54,0.59,0.97,1.4,3.09,2.26,2.56,3.31,1.78,0.97,1.62,2.26,2.14,1.09,1.93,2.15,3.05,1.21,2.27,0.99,3.07,3.44,1.3,0.96,3.23,3.49,1.15,4.02,1.23,2.03,0.94,1.87,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.72,3.56,1.88,1.81,,1.63,1.47,1.56,1.72,2.12,0.57,1.87,2.2,1.62,3.22,3.4,2.52,1.84,4.32,1.2,3.12,0.7,0.87,1.33,1.98,0.66,0.03,1.23,3.8,1.74,0.28,0.59,3.3,1.19,2.28,4.51,1.21,1.22,1.45,3.41,1.28,2.25,1.25,1.41,0.48,3.5,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.25,1.55,2.23,2.09,,2.2,1.22,2.32,2.03,0.73,1.23,3.33,1.71,0.68,0.54,0.87,1.96,1.33,0.81,1.58,1.49,1.38,1.5,3.35,2.12,2.92,1.48,1.2,0.44,1.66,1.89,3.8,3.68,1.07,0.6,0.86,2.46,1.63,3.29,1.4,3.3,2.17,1.25,3.42,4.63,1.24,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.94,1.77,2.87,2.25,,0.25,3.14,1.89,0.66,1.95,1.47,2.86,2.79,5.19,2.52,1.88,1.02,2.88,1.75,1.62,2.44,2.03,1.94,2.06,2.82,1.16,1.67,0.77,0.32,1.66,1.68,0.92,1.99,1.67,2.89,1.63,2.54,0.97,1.87,1.21,2.31,0.68,3.1,3.72,2.36,1.86,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.72,1.39,3.2,0.72,,1.33,1.64,2.6,2.39,0.99,1.78,0.88,2.96,5.58,2.94,1.11,0.93,2.11,1.89,0.47,2.43,4.24,2.5,1.6,4.37,1.57,3.24,1.09,0.94,1.82,0.58,0.47,1.34,2.61,2.32,1.15,1.58,2.47,2.97,2.36,1.67,1.63,2.92,1.81,1.75,2.17,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.17,3.24,1.38,0.49,,0.24,3.41,2.98,2.45,1.14,3.24,1.23,1.01,2.36,5.34,2.22,2.04,2.9,1.89,2.71,2.47,1.73,0.78,2.23,0.74,2.24,1.87,2.75,1.3,2.27,0.61,2.31,2.06,1.53,1.35,2.87,0.89,2.87,5.65,0.9,3.75,3.54,3.4,1.3,4.28,2.55,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.43,2.81,4.68,0.29,,1.6,3.46,3.3,2.32,0.93,6.26,1.5,3.89,1.14,4.36,6.3,2.26,2.94,3.17,2.75,0.21,1.75,0.62,3.83,6.86,3.93,2.06,3.31,2.88,2.58,5.8,1.29,0.56,1.37,2.4,2.09,2.09,1.53,3.99,4.97,1.2,0.76,2.41,2.49,3.2,2.19,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,5.04,4.16,2.1,4.18,,2.24,1.09,1.6,2.94,1.48,1.96,2.75,3.36,5.13,5.8,0.58,5.45,2,0.91,1.85,1.65,0.95,1.02,2.52,2.64,4.03,4.42,4.27,2.33,2.97,4.71,3.36,3.23,1.22,1.48,2.63,2.01,3.45,4.6,2.8,3.56,1.02,2,3.08,2.38,2.74,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.03,0.46,4.03,2.46,4.14,,1.78,4.82,1.01,3.06,3.58,2.63,5.68,2.67,1.41,3.3,6.03,2.76,2.39,3.83,1.92,4.44,1.28,2.67,1.15,1.12,0.61,1.05,2.37,1.1,2.28,1.11,6.19,2.55,0.53,2.8,0.72,1.46,0.77,2.54,1.26,2.01,1.34,0.52,1.56,1.79,0.86,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.71,6.91,1.24,1.83,2.89,,4.94,1.09,4.34,3.1,2.71,5.62,1.4,1.89,2.45,0.84,5.47,2.77,6.8,2.44,1.55,4.94,3.99,1.28,0.99,4.16,1.87,8.31,3.58,4.43,3.49,2.84,3.82,0.89,3.02,2.69,1.97,2.81,1.78,7.53,1.11,1.77,5.22,4.89,2.45,5.35,2.82,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
