CHRYSTON (SCHOOLHOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS684699,Long,-4.106545,Lat,55.904162,Elevation,298,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5185/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,7.94,3.25,3.75,1.55,4.28,2.93,6.94,5.03,1.82,1.06,5.32,3.65,4.89,3.23,4.24,,,3.84,3.19,5.77,2.73,1.61,,,,,,,
February,,0.05,3.04,0.28,4.09,1.97,4.89,1.41,5.31,1.77,3.35,,3.83,1.33,5.35,3.44,,,4.03,4.21,2.78,1.81,,,,,,,,
March,,2.04,2.24,3.11,2.1,2.43,1.33,3.2,3.32,3.99,3.86,,2.02,0.78,2.99,3.16,,,1.67,3.46,3.45,2.4,,,,,,,,
April,,3.48,2.47,3.81,2.61,1.25,1.75,0.7,1.98,3.21,1.54,,2.59,2.15,1.7,,,,4.37,2.72,2.37,2.19,,,,,,,,
May,,3.09,1.99,2.44,0.55,1.07,1.94,3.93,0.9,1.05,3.35,,4.1,3.4,3.91,,,,1.6,1.28,1.78,2.44,,,,,,,,
June,,0.86,1.11,2.12,3.17,1.69,3.54,4.95,2.28,1.06,1.08,1.59,3.66,3.27,3.9,,,,1.24,2.25,3.09,,,,,,,,,
July,,4.59,4.57,2.75,1.71,5.64,3,4.35,4.58,4.78,3.61,2.44,2.6,3.65,3.29,,,,,4.9,2.55,,,,,,,,,
August,,1.84,3.11,4.59,2.67,4.43,3.83,2.96,1.75,1.95,4.59,3.87,6.19,3.48,3.12,,,,,5.3,3.3,,,,,,,,,
September,,4.55,1.21,4.7,5.19,4.43,2.12,3.51,2.34,3.49,1.39,3.85,2.15,5.19,5.19,,,,1.3,8.7,2.32,,,,,,,,,
October,,5.88,2.29,5.86,8.89,2.97,3.63,7.92,2.66,4.49,3.89,5.16,6.83,4.8,5.57,,,,5.84,3.18,0.87,3.43,,,,,,,,
November,,3.13,1.61,1.4,4.46,1.99,0.54,7.15,7.45,4.43,2.68,0.62,2.05,7.54,0.77,,,,3.63,3.18,5.99,2.37,,,,,,,,
December,,6.72,0.85,2.43,2.19,4.22,2.57,2.8,1.71,3.44,1.58,3.05,1.54,4.27,2.76,,,,6.61,1.45,5.3,,,,,,,,,
Total,,44.17,27.74,37.24,39.18,36.37,32.07,49.82,39.31,35.48,31.98,,41.21,44.75,41.78,,,,,43.82,39.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 -100 Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 -100 Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 NP Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 NP Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 T Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 JA Deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 JJAS Deleted Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5185/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,658365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
