FALLOWFIELD PLATT FIELD PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ852943,Long,-2.224292,Lat,53.445257,Elevation,124,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2,4.68,2.26,2.13,2.13,3.61,3.86,4.17,2.52,2.49,2.75,2.03,2.99,3.44,7.59,1.71,3.9,4.82,3.37,2.18,2.01,1.96,3.23,2.98,3.9,4.17,1.81,0.58,2.59,4.57,4.66,2.77,4.36,2.32,7.57,2.31,1.9,3.22,3.13,1.3,3.24,1.98,4.67,1.93,2.77,2.21,4.43
February,,,,,1.97,2.23,3.95,0.79,3.64,0.78,3.03,0.37,3.42,4.11,0.81,5.46,2.99,1.36,3.84,0.91,0.25,3.56,0.08,2.65,0.31,2.97,1.8,3.94,1.05,3.22,1.94,3.1,1.27,2.68,1.61,3.27,5.54,0.52,2.05,1.68,4.14,2.31,1.35,1.54,2.28,1.65,0.95,2.31,4.18,0.26,2.16
March,,,,,3.39,1.12,1.94,1.99,1.23,5.09,2.89,2.5,1.81,1.66,1.11,1.46,1.4,3.17,1.93,1,2.62,0.46,2.04,2.95,2.38,1.2,1.26,1.11,1.02,1.46,2.77,2.68,2.85,0.9,0.49,0.99,0.84,5.11,1.19,1.93,2.14,4.47,2.3,1.91,2.68,1.96,0.98,2.89,2.39,1.58,0.69
April,,,,,1.24,1.27,2.17,1.52,1.4,1.72,4.11,1.15,2.67,2.8,1.55,2,1.18,1.94,1.01,0.93,1.33,3.33,3.08,1.01,1.77,2.59,0.82,2.38,0.35,2.05,2.07,1.35,1.47,1.49,2.38,2.09,1.48,2.35,1.59,2.92,3.25,2.37,2.98,2.38,0.73,1.72,3.2,0.44,0.84,2.7,1.46
May,,,,,1.92,1.48,2.74,2.3,2.59,1.44,4.43,1.88,1.28,2.92,5.54,5.86,3.17,1.35,1.5,2.28,1.66,2.67,4.4,1.58,1.78,0.79,0.51,2.03,3.28,2.18,1.35,1.41,4.81,1.95,3.87,3.82,1.14,2.43,1.3,3.81,1.54,1.77,1.63,1.81,2.76,2.86,1.09,1.18,2.79,0.94,1.8
June,,,,,2.36,2.48,3.01,2.17,1.36,1.12,2.92,0.32,2.16,0.71,2.62,0.05,1.94,4.99,5.65,1.01,2.65,5.33,0.34,3.81,2.09,3.47,3.13,1.16,3.31,2.6,0.99,0.48,0.8,2.79,2.76,3.88,2.81,2.04,4.46,0.91,2.86,1.71,2.45,2.57,2.93,3.06,2.18,1.81,5.02,2.36,2.08
July,,,,,3.95,4.93,1.46,2.07,4.09,2.18,6.55,1.02,3.82,4.74,3.42,2.16,3.51,1.88,2.02,3.19,6.09,3.67,3.53,3.01,2.24,1.25,3.48,1.89,3.93,5.79,3.54,2.83,3.89,2.14,3.39,1.34,4.58,3.03,2.6,1.82,3.08,3.42,2.93,4.2,4.88,0.85,4.77,4.53,5.05,2.54,4.67
August,,,,,3.11,3.21,1.93,5.14,2.63,3.15,1.95,4.21,4.43,4.28,5.7,4.32,3.89,4.46,4.83,3.3,5.03,6.69,1.63,1.51,2.79,1.52,2.18,0.95,2.63,1.39,1.5,4.96,4.13,4.95,3.64,2.97,3.94,0.41,4.19,3.04,4.06,4.85,2.23,4.11,4.99,0.96,8.95,3.69,5.32,0.29,5.16
September,,,,,2.6,0.52,2.04,2.12,7.92,1.67,2.38,0.92,2.99,3.61,3.12,4.29,2.89,5.7,1.07,1.95,2.96,3.25,3.1,1.05,2.21,5.34,3.58,1.09,1.57,1.16,2.77,0.57,1.8,4.46,3.59,2.97,5.24,2.13,2.34,0.77,5.49,3.08,3.12,2.7,3.89,2.5,2.45,5.39,4.28,0.18,3.54
October,,,,,1.66,1.18,3.62,4.95,2.82,2.12,1.5,2.29,0.27,4.02,4,4.53,4.14,2.18,3.47,4.52,4.6,1.55,6.93,4.28,4.09,5.2,2.94,1.36,6.09,1.47,3.49,4.12,5.4,3.25,3.57,5.86,0.6,0.71,2.52,2.89,2.48,1.1,3.47,2.14,5.74,1.75,2.3,3.21,2.53,2.78,3.16
