"BUDLEIGH SALTERTON, OAKHILL, EAST BUDLEIGH.",,,,,,,,,,,,
Grid ref,SY070845,Long,-3.316911,Lat,50.652731,,,,,,,
Station no,RR8867,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.02,3.13,3.86,1.19,5.27,0.94,0.87,,,
February,,,1.76,1.70,6.22,0.85,3.41,1.34,1.53,,,
March,,,2.07,3.33,1.55,4.06,0.95,0.55,2.96,,,
April,,,1.36,2.36,1.01,2.53,1.25,3.76,2.54,,,
May,,,1.66,3.55,2.84,0.65,2.46,2.61,1.61,,,
June,,,2.65,2.02,0.90,2.77,1.60,2.35,0.46,,,
July,,,2.16,3.11,4.50,0.41,0.94,1.79,1.59,,,
August,,,2.79,3.11,2.54,3.53,1.20,0.85,3.60,,,
September,,,2.67,3.73,1.49,2.04,0.99,0.47,2.24,,,
October,,,2.62,6.18,2.06,2.06,4.18,6.13,2.86,,,
November,,,4.20,1.46,1.49,5.18,2.09,2.72,1.04,,,
December,,,1.88,3.45,2.57,0.68,1.26,4.64,3.25,,,
Total,,,26.84,37.13,31.03,25.95,25.60,28.15,24.55,,,
Calc annual,0.00,0.00,26.84,37.13,31.03,25.95,25.60,28.15,24.55,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
