"OAKEN (MANOR HOUSE)",,,,,,,,,,,,
Grid ref,SJ857031,Long,-2.212686,Lat,52.625469,,,,,,,
Station no,2334/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.99,2.17,0.84,1.23,2.66,3.33,1.34,1.69,2.85,5.59,,
February,2.36,0.41,1.41,2.16,1.80,0.65,2.05,3.79,0.38,2.32,,
March,4.25,1.54,0.94,1.98,3.21,0.95,2.02,1.24,1.90,1.49,,
April,2.07,2.06,2.88,0.41,1.50,1.88,0.15,0.65,3.58,1.09,,
May,3.61,3.17,2.66,2.34,3.94,0.66,1.47,2.14,0.69,1.54,,
June,1.20,1.97,2.43,2.83,2.24,2.03,2.11,4.62,1.88,2.25,,
July,1.47,0.74,3.57,4.19,1.03,2.14,2.96,4.36,2.79,3.99,,
August,4.42,3.73,2.49,4.13,0.93,5.69,3.32,2.75,1.45,2.42,,
September,2.60,1.54,2.32,1.74,2.05,2.39,4.30,4.20,0.26,5.32,,
October,1.30,3.75,1.77,3.96,1.53,2.09,1.65,2.20,2.61,5.48,,
November,5.94,2.11,1.79,5.57,2.28,0.61,2.09,1.90,3.43,4.31,,
December,2.35,2.89,1.21,2.66,1.93,2.65,1.37,2.46,4.05,3.27,,
Total,33.56,26.08,24.31,33.20,25.10,25.07,24.83,32.00,25.87,39.07,,
Calc annual,33.56,26.08,24.31,33.20,25.10,25.07,24.83,32.00,25.87,39.07,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
