"BOSTON - BARGATE LODGE (73, Wide Bargate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF331445,Long,-0.019,Lat,52.981,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872
January,1.73,2.60,1.98,1.65,1.67,0.77,0.64,2.41,1.72,1.11,3.26,1.00,1.40,1.25,1.55,2.40,1.34,1.68,1.42,2.50,0.98,1.33,1.51,1.39,1.54,2.19,1.41,0.92,0.43,2.20,3.13,0.60,0.64,3.00,0.93,1.54,2.25,,1.82,0.97,3.46,2.27,2.52,1.25,0.89,2.58
February,0.81,1.38,1.12,1.66,2.50,0.12,4.54,0.45,2.00,1.87,1.47,1.62,1.10,1.28,1.58,1.48,2.16,1.80,0.90,0.57,1.21,2.65,0.22,0.91,0.74,1.00,1.61,0.28,2.18,1.00,0.38,0.25,1.19,1.20,2.12,0.39,0.33,,1.90,2.14,1.40,1.40,1.89,1.30,1.61,1.78
March,1.72,0.67,0.17,0.12,1.13,1.47,2.26,0.36,2.68,2.24,0.41,1.09,2.59,0.70,1.20,2.08,0.62,1.89,1.98,0.64,0.94,2.60,1.50,0.59,3.23,0.50,1.09,0.42,1.35,0.25,1.34,1.15,1.71,1.80,1.65,3.22,0.83,,1.21,0.80,1.52,1.61,2.72,1.10,1.10,2.36
April,1.18,2.29,3.28,2.63,0.90,1.60,2.30,0.64,1.09,1.60,2.00,1.68,0.75,0.54,1.69,1.34,1.39,0.39,1.12,3.23,1.77,2.78,2.83,1.47,1.26,0.20,1.50,0.75,0.23,1.58,1.95,1.75,3.26,0.47,1.23,1.30,1.30,,0.30,1.10,2.39,1.75,1.91,0.73,2.60,2.71
May,2.06,1.68,0.22,4.01,0.98,2.70,0.53,0.81,2.10,0.47,1.08,1.88,0.66,2.46,1.42,2.48,3.80,0.52,3.37,1.45,5.41,0.18,2.75,1.86,0.44,0.45,1.00,2.00,1.26,2.20,0.50,2.15,1.59,3.48,1.55,2.06,0.71,,2.23,1.25,3.56,0.39,3.71,0.58,1.43,1.74
June,1.54,2.05,2.99,3.95,1.80,3.08,3.17,1.36,2.04,1.48,1.79,2.86,4.58,1.99,3.05,1.05,1.78,1.49,2.04,1.08,2.85,4.22,2.46,0.60,2.09,3.39,2.46,1.25,2.34,1.00,3.30,0.80,1.75,4.21,2.49,1.98,1.75,,1.74,2.60,1.01,0.41,1.76,1.60,3.20,2.00
July,1.26,8.02,3.88,2.02,2.35,1.55,0.60,3.84,1.20,1.60,1.88,1.64,4.36,2.76,3.74,3.57,2.40,2.63,2.51,1.98,0.86,2.89,2.60,4.10,5.73,0.80,3.35,1.24,4.10,1.80,1.74,1.78,1.50,1.60,3.74,2.22,0.60,,5.29,4.42,3.34,0.33,0.76,0.96,3.55,3.31
August,2.74,2.26,3.39,2.33,5.03,3.89,2.02,1.39,0.84,1.22,3.90,2.05,3.47,1.22,2.85,1.05,4.02,2.57,4.85,3.08,1.46,3.70,0.70,1.90,1.64,4.27,2.28,1.78,1.30,3.08,3.24,2.75,1.73,5.35,0.15,1.70,2.75,,2.92,2.84,1.87,3.29,1.57,1.45,0.98,3.73
September,1.27,2.15,2.98,4.20,2.90,0.90,1.49,1.30,2.61,2.38,1.70,1.82,2.16,1.90,3.43,3.72,0.47,2.50,1.26,0.79,1.54,4.61,2.23,2.22,1.58,4.32,1.50,0.30,0.30,1.42,2.22,1.89,2.51,2.96,1.38,1.47,1.90,,0.40,3.55,1.85,2.22,3.22,0.90,3.79,2.19
October,2.59,2.38,1.40,0.64,2.40,1.85,2.23,0.67,3.58,2.73,1.96,1.35,2.41,1.63,2.97,0.88,3.35,2.37,1.39,4.38,2.52,5.33,3.32,2.20,2.12,2.41,2.70,1.25,3.70,2.08,3.73,3.14,2.10,1.92,0.90,1.84,2.47,,4.62,1.73,1.96,3.22,1.38,3.30,1.04,
November,1.39,1.31,2.53,1.34,1.95,2.59,0.86,0.79,1.74,3.46,1.55,1.17,3.23,2.03,2.11,3.80,2.84,3.40,1.13,1.70,1.32,1.02,0.74,1.50,1.50,4.32,1.33,1.91,2.42,1.61,1.25,1.35,1.36,2.40,2.84,0.86,2.45,,2.21,2.15,0.64,1.32,1.65,1.37,1.17,
December,1.98,1.80,0.20,1.35,1.96,2.03,1.98,0.64,0.27,1.22,2.58,0.79,1.77,0.85,1.67,0.88,0.12,0.40,2.32,2.00,3.06,1.33,3.17,1.37,0.58,1.45,1.17,1.71,1.23,1.27,0.39,1.39,1.62,2.30,1.40,1.35,0.95,,1.15,2.00,2.25,5.59,4.44,3.86,1.36,
Total,20.27,28.59,24.14,25.90,25.57,22.55,22.62,14.66,21.87,21.38,23.58,18.95,28.48,18.61,27.26,24.73,24.29,21.64,24.29,23.40,23.92,32.64,24.03,20.11,22.45,25.30,21.40,13.81,20.84,19.49,23.17,19.00,20.96,30.69,20.38,19.93,18.29,,25.79,25.55,25.25,23.80,27.53,18.40,22.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
