LARBERT CARRON PARK,,,,,,,,,,,
Grid ref,NS 87413 82513,Long,-3.8078869,Lat,56.022256,Elevation,80,ft,,,
Station no,RR8784,,,,,,,,,,
,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900
January,,,,1.11,5.07,1.28,1.73,0.66,2.19,6.32,5.36
February,,,,4.21,10.05,0.41,1.32,2.86,2.54,1.61,1.4
March,,,0.53,1.06,3.14,2.28,1.37,3.95,1.49,2.95,
April,,,1.7,0.93,1.39,1.73,3.29,1.51,2.43,3.26,
May,,,3.39,1.75,2.25,0.6,0.58,1.62,1.95,4.24,
June,,,3.77,1.47,2.24,1.04,3.72,4.88,2.84,1.9,
July,,,1.66,2.38,2.73,4.84,4.31,0.93,0.8,3.6,
August,,,6.96,2.6,4.07,6.81,2.27,4.27,3.83,0.79,
September,,,3.09,1.61,0.13,1.56,3.27,2.37,4.65,1.47,
October,,,4.11,3.4,3.9,2.74,2.98,1.76,4.55,4.16,
November,,,2.75,1.73,2.37,3.89,0.68,1.37,4.54,3.92,
December,,,2.04,4.2,2.94,4.61,5.75,4.2,4.68,3.26,
Total,,,,26.45,40.28,31.79,31.27,30.38,36.49,37.48,
,,,,,,,,,,,
1900 Ja Feb Transcibed from sheet,,,,,,,,,,,
,,,,,,,,,,,
Station no,RR8784,,,,,,,,,,
Midas,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,
