"CATRINE",,,,,,,,,,,,
Grid ref,NS535258,Long,-4.321062,Lat,55.503942,,,,,,,
Station no,5255,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.50,3.90,2.50,1.65,3.70,1.51,3.99,4.20,,
February,,,0.50,2.50,1.48,2.00,1.33,1.89,2.00,3.93,,
March,,,3.40,4.70,1.25,3.02,1.90,4.00,3.70,2.00,,
April,,,1.40,1.50,3.90,2.25,1.70,2.80,1.47,3.02,,
May,,,2.00,3.10,3.60,1.27,4.41,3.39,2.00,1.82,,
June,,,1.00,2.20,1.50,1.40,0.95,3.37,2.07,2.98,,
July,,,3.10,3.20,3.15,4.23,3.05,2.42,3.26,5.70,,
August,,5.30,3.10,6.65,4.75,3.50,4.35,3.77,3.80,3.03,,
September,,3.00,3.50,2.70,2.90,3.27,1.80,0.80,5.00,2.21,,
October,,5.20,2.10,7.40,2.50,3.80,5.30,7.48,0.70,6.07,,
November,,5.30,1.70,3.50,4.00,3.04,4.60,3.15,3.27,2.05,,
December,,4.50,3.90,2.55,1.75,4.30,3.80,3.90,2.52,4.91,,
Total,,,29.20,43.90,33.28,33.73,36.89,38.48,33.78,41.92,,
Calc annual,0.00,23.30,29.20,43.90,33.28,33.73,36.89,38.48,33.78,41.92,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
