CATRINE,,,,,,,,,,
Grid ref,NS535258,Long,-4.321062,Lat,55.503942,Elevation,340,ft,,
Station no,5255,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,0.6,0.85,1.05,6.4,2.1,5.95,,,3.35
February,,3.22,1.99,3.15,3.16,5.89,2.3,,,3.59
March,,3.61,4.66,0.6,3.45,3.1,4.05,,,3.9
April,,1.59,1.65,2.38,0.65,1.05,2.35,,,0.95
May,,1.33,1.05,1.01,1.6,3.55,0.01,,,1.97
June,,2.67,2.75,5.31,3.05,1.4,3.25,,,2.1
July,,3.8,1.8,1.85,2.08,3.25,6.97,,,2.7
August,,2.91,3.95,4.24,2.76,1.65,4.6,,,4.95
September,,2.51,1.15,5.15,3.09,5.1,5.32,,,5.95
October,,6.49,6.98,3.56,3.51,3.4,4.65,,,3.15
November,,5.57,3.95,5.29,3.69,4.1,4.96,,,2.23
December,,3.51,5.72,11.73,2.65,2.75,5.85,,,2.66
Total,39.51,37.81,36.5,45.32,36.09,37.34,50.26,39.2,38.88,37.5
