SORNE MANSE CATRINE,,,,,,,,,,
Grid ref,NS 550 267,Long,-4.296577,Lat,55.51281,Elevation,411,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,0.76,0.92,1.4,7.03,2.18,6.5,,,3.41
February,,3.91,1.95,3.55,3.53,6.6,2.54,,,3.76
March,,4.15,5.15,0.95,4,3.3,4.38,,,4.03
April,,1.95,1.95,2.75,0.93,1.2,2.3,,,1.03
May,,0.9,1,1.28,1.87,3.5,0,,,2.15
June,,2.98,3.25,5.92,3.3,1.6,3.27,,,2.26
July,,3.74,1.65,2.05,2.33,3.3,8.4,,,2.75
August,,2.49,4.08,4.53,3.1,1.6,4.8,,,3.98
September,,2.61,1.75,6.07,3.83,5.11,6.01,,,6.2
October,,6.7,7.85,3.94,3.95,3.47,4.9,,,3.41
November,,5.61,4.25,6.06,3.8,4.45,5.4,,,2.29
December,,4.18,5.7,13,2.9,2.83,6.6,,,2.77
Total,45.04,39.98,39.5,51.5,40.57,39.14,55.1,41.05,35.4,38.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
