EXETER-HELES-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX914932,Long,-3.53928,Lat,50.72827,Elevation,133,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.61,3.68,0.87,0.99,4.19,5.33,4.13,2.18,4.34,1.9,5.4,4.24,4.4,4.76,4.3,1.97,5.8,,,,,,,,,,
February,,,,,3.71,5.74,5.61,0.89,1.46,4.42,0.41,0.24,2.72,7.78,1.66,4.23,2.85,4.24,3.14,2.26,1.61,,,,,,,,,,
March,,,,,4.61,0.34,4.17,4.32,1.07,4.34,2.92,1.87,2.72,1.32,1.73,0.72,0.54,3.85,3.55,0.1,2.93,,,,,,,,,,
April,,,,,1.11,0.78,0.52,1.37,1.88,1.69,4.02,0.7,3.54,2.78,2.85,4.29,1.83,1.47,1.71,0.87,3.17,,,,,,,,,,
May,,,,,1.58,2,1.74,1.79,1.18,0.65,1.35,1.39,0.74,1.08,5.36,4.26,0.86,0.61,1.53,2.01,1.7,,2.99,,,,,,,,
June,,,,,1.37,2.23,1.46,2.51,0.5,0.67,2.12,0.45,0.56,0.49,3.03,0.03,2.74,1.77,1.7,2.4,0.53,,,,,,,,,,
July,,,,,3.72,3.13,1.05,2.27,3.96,1.27,3.12,0.55,2.76,1.1,3.29,3.64,0.76,2.81,1.35,1.22,1.74,,,,,,,,,,
August,,,,,2.45,1.74,4.88,5.42,2.24,3,1.03,1.64,3.49,2.07,2.43,1.24,1.14,2.99,2.19,1.58,3.31,,,,,,,,,,
September,,,,,3.11,1.15,2.97,1.28,6.35,1.5,1.35,0.52,2.69,2.88,4.35,3.57,1.23,4.63,1.24,0.52,4.56,,,,,,,,,,
October,,,,,3.2,5.17,5.7,4.29,1.49,1.77,3.01,0.72,1.14,5.41,4.74,3.1,2.43,1.41,4.85,5.34,3.5,,5.76,,,,,,,,
November,,,,,3.06,1.93,5.58,1.65,3.05,2.58,1.74,3.81,1.09,2.5,3.86,2.74,7.72,2.96,3.44,10.67,5.79,,,,,,,,,,
December,,,,,7.93,7.07,3.65,0.94,3.75,4.65,3.25,1.57,6.03,3.16,4.03,3.76,0.57,2.05,3.43,8.18,3.87,,,,,,,,,,
Total,,,,,36.46,34.96,38.2,27.72,31.12,31.87,28.45,15.64,31.82,32.47,42.73,35.82,27.07,33.55,32.43,37.12,38.51,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge on wind screen containing thermometers 6ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Owing to rebuilding operations record too discontinuous to be worth sending in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 June 16 Moved 80yds WSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 June Told not required in future unless readings made during holidays etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 No reply to letter and no return received ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Black listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
