"DUNBOYNE  STIRLING  CLONEE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.79,1.11,2.98,5.21,1.54,2.91,1.99,1.73,2.48,4.25,,
February,3.00,2.29,1.87,1.18,2.74,3.53,4.16,2.24,2.90,1.82,,
March,1.21,2.11,2.84,2.69,2.08,0.73,3.39,2.75,1.73,2.96,,
April,2.37,1.87,1.26,3.11,1.12,1.74,2.46,1.96,1.71,1.58,,
May,2.44,1.60,1.35,3.12,1.90,1.66,4.43,2.66,2.12,1.95,,
June,4.43,1.39,3.85,1.50,0.90,1.49,2.47,1.26,1.46,2.34,,
July,3.14,2.48,4.41,0.83,3.12,5.29,2.24,1.46,3.90,0.94,,
August,3.97,1.54,6.59,0.86,4.15,2.22,3.29,7.64,2.25,2.43,,
September,0.55,1.28,0.51,4.09,1.10,1.08,2.37,1.77,5.52,2.61,,
October,1.45,4.11,2.36,4.35,1.92,3.47,8.00,4.37,3.24,2.45,,
November,4.01,4.84,2.15,2.66,5.02,3.61,6.43,2.41,2.54,2.68,,
December,5.10,4.54,2.76,2.30,7.12,5.68,4.15,2.84,4.08,5.17,,
Total,35.46,29.16,32.93,31.90,32.71,33.41,45.38,33.09,33.93,30.98,,
Calc annual,35.46,29.16,32.93,31.90,32.71,33.41,45.38,33.09,33.93,31.18,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.20,,
