"HOLME MOOR YENFORD RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,10.00,3.34,,,,,,,,,,
February,12.40,6.54,,,,,,,,,,
March,2.34,5.91,,,,,,,,,,
April,5.49,4.48,,,,,,,,,,
May,4.55,3.08,,,,,,,,,,
June,2.98,4.86,,,,,,,,,,
July,5.52,1.37,,,,,,,,,,
August,9.32,4.47,,,,,,,,,,
September,0.65,4.00,,,,,,,,,,
October,11.63,7.88,,,,,,,,,,
November,10.19,10.65,,,,,,,,,,
December,18.06,23.89,,,,,,,,,,
Total,93.13,80.47,,,,,,,,,,
Calc annual,93.13,80.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
