"WEETON RESERVOIR NO 3",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,None,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.84,0.92,3.31,3.94,2.31,4.76,1.83,2.44,3.50,4.74,,
February,3.62,3.59,1.72,1.49,2.56,4.04,3.16,1.40,3.66,1.17,,
March,0.90,1.34,5.39,3.53,4.02,1.61,1.94,2.61,1.47,5.38,,
April,2.20,2.50,0.40,3.98,0.90,2.71,2.69,1.75,1.29,1.49,,
May,1.93,1.50,2.36,2.11,2.18,1.26,2.72,2.48,2.91,1.50,,
June,2.41,2.88,5.01,2.13,1.20,1.51,1.82,2.29,1.82,1.48,,
July,5.17,0.31,4.87,1.40,5.11,3.74,1.30,1.46,5.20,1.54,,
August,5.13,3.82,5.05,1.88,1.97,6.74,2.89,7.05,3.81,4.67,,
September,0.34,4.00,1.16,2.97,3.89,0.41,2.74,3.43,9.42,2.46,,
October,2.67,3.20,4.69,2.34,2.00,1.80,5.36,6.86,3.79,3.84,,
November,4.90,3.39,2.96,4.52,4.72,1.79,2.51,3.79,2.34,2.39,,
December,2.42,5.75,3.56,2.50,5.10,7.18,2.50,1.59,7.80,5.79,,
Total,35.53,33.20,40.48,32.79,35.96,37.55,31.46,37.15,47.01,36.45,,
Calc annual,35.53,33.20,40.48,32.79,35.96,37.55,31.46,37.15,47.01,36.45,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
