"HILLINGTON SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.26,2.33,2.92,,,,,,,,,
February,3.23,2.45,1.24,,,,,,,,,
March,0.89,3.60,3.04,,,,,,,,,
April,3.46,1.38,,,,,,,,,,
May,4.11,1.51,,,,,,,,,,
June,1.85,3.74,,,,,,,,,,
July,4.28,0.40,,,,,,,,,,
August,1.67,1.36,,,,,,,,,,
September,1.64,3.15,,,,,,,,,,
October,1.76,3.54,,,,,,,,,,
November,3.91,4.65,,,,,,,,,,
December,4.32,3.91,,,,,,,,,,
Total,33.38,32.02,,,,,,,,,,
Calc annual,33.38,32.02,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
