"THIRSK BOLTBY HIGH PARADISE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3435,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,3.98,0.56,,2.31,3.95,,
February,,,,,,4.27,3.14,-999.00,2.00,1.48,,
March,,,,,,1.24,4.44,,2.26,3.44,,
April,,,,,,1.40,1.39,4.10,1.76,2.07,,
May,,,,,,1.53,2.65,0.78,3.30,0.73,,
June,,,,,,1.17,3.66,2.28,1.07,2.25,,
July,,,,,,4.12,2.39,1.62,4.61,3.29,,
August,,,,,,3.03,2.20,9.58,3.08,2.58,,
September,,,,,,1.70,3.06,0.99,6.60,1.27,,
October,,,,,,1.32,4.12,3.42,2.70,6.33,,
November,,,,,,2.32,2.82,2.77,,3.28,,
December,,,,,,5.46,2.41,2.16,,4.30,,
Total,,,,,,31.54,32.84,32.35,35.62,34.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,31.54,32.84,27.70,29.69,34.97,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,4.65,5.93,0.00,,
