"BRIGG, BRIDGE STREET",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,131895,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.59,1.45,2.71,2.78,1.63,2.67,0.58,3.10,1.50,3.00,,
February,2.12,1.38,1.04,0.66,0.64,2.75,3.17,0.80,1.57,2.27,,
March,0.90,2.06,2.51,2.13,2.25,0.93,3.51,1.64,0.91,3.05,,
April,2.44,1.60,0.16,1.67,0.66,0.68,1.27,1.74,1.19,1.68,,
May,2.18,0.59,2.27,1.79,1.61,1.36,2.95,1.40,4.66,0.85,,
June,2.23,3.33,4.76,0.66,2.21,0.45,2.91,1.11,0.69,1.01,,
July,3.74,0.49,3.00,0.39,1.59,5.12,1.38,1.34,3.43,2.68,,
August,3.24,1.30,4.35,0.80,2.61,3.71,3.61,6.46,2.34,2.46,,
September,0.32,2.00,1.50,1.78,0.84,0.68,0.80,0.92,4.14,1.45,,
October,2.34,1.57,2.99,2.20,2.39,1.11,2.24,3.51,1.37,3.48,,
November,2.98,2.40,2.77,2.03,1.97,2.43,2.67,1.80,1.75,2.95,,
December,2.78,3.33,2.35,1.08,4.35,4.52,2.25,1.16,3.82,3.32,,
Total,26.86,21.50,30.41,17.97,22.75,26.41,27.34,24.98,27.37,28.20,,
Calc annual,26.86,21.50,30.41,17.97,22.75,26.41,27.34,24.98,27.37,28.20,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
