"GLEN-NA-SMOEL, RATHMINES W.W.",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,7.51,2.43,5.36,9.25,2.06,4.79,3.53,2.24,2.46,5.67,,
February,11.51,5.16,4.01,1.60,6.15,7.37,7.25,1.79,3.35,1.72,,
March,2.09,3.61,5.16,4.81,4.68,1.90,6.22,6.52,2.64,4.30,,
April,4.60,3.54,1.61,5.15,1.72,3.12,3.79,2.47,3.70,2.01,,
May,4.17,1.58,1.62,5.82,2.85,1.53,6.30,2.70,3.21,1.51,,
June,7.54,2.08,4.52,2.50,2.80,2.15,3.75,2.20,1.75,3.77,,
July,4.35,2.31,4.99,1.09,2.11,6.37,3.86,1.74,3.53,2.50,,
August,8.93,1.68,10.76,1.43,4.34,3.75,4.24,9.64,1.94,3.37,,
September,1.88,1.60,1.40,4.07,1.92,1.40,3.08,2.39,5.62,3.55,,
October,4.60,5.44,2.88,8.79,2.56,6.03,9.50,5.01,4.13,3.34,,
November,6.30,5.63,3.12,3.97,6.47,6.47,9.53,3.13,4.47,5.19,,
December,19.63,7.77,4.58,2.68,10.59,8.43,4.88,4.29,4.67,7.45,,
Total,83.11,42.83,50.01,51.16,48.25,53.31,65.93,44.12,41.47,44.38,,
Calc annual,83.11,42.83,50.01,51.16,48.25,53.31,65.93,44.12,41.47,44.38,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
