"FOWNHOPE MORNEY CROSS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.48,,,,,,,1.15,2.32,2.49,,
February,3.33,,,,,,,1.01,0.85,3.04,,
March,0.73,,,,,,,3.14,1.45,4.50,,
April,2.05,,,,,,,1.28,1.99,1.47,,
May,1.52,,,,,,,4.42,2.08,0.41,,
June,3.32,,,,,,,2.61,0.51,0.70,,
July,1.34,,,,,,,2.06,2.93,2.31,,
August,4.71,,,,,,,5.43,1.35,2.20,,
September,,,,,,,,2.22,6.33,1.15,,
October,,,,,,,,2.67,1.08,2.08,,
November,,,,,,,,0.94,1.77,1.02,,
December,,,,,,,,0.64,2.15,3.47,,
Total,,,,,,,,27.57,24.81,24.84,,
Calc annual,19.48,0.00,0.00,0.00,0.00,0.00,0.00,27.57,24.81,24.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
