"AILSA CRAIG",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5276,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.93,1.19,1.46,1.97,2.36,2.37,3.07,0.76,1.27,2.40,,
February,4.18,3.66,1.83,0.68,2.77,2.98,2.97,0.62,2.78,1.39,,
March,1.62,0.62,2.86,1.57,2.69,1.60,1.26,0.70,0.75,2.28,,
April,3.54,3.19,0.96,1.43,1.95,1.65,2.13,0.77,0.70,0.43,,
May,0.60,0.64,0.79,1.52,1.29,1.10,2.35,3.13,2.65,0.22,,
June,1.25,1.07,4.23,1.75,0.49,0.93,1.65,0.73,1.00,2.92,,
July,4.79,1.19,1.62,0.69,1.48,3.08,2.66,0.83,1.74,0.38,,
August,5.14,0.36,1.49,1.47,3.11,0.84,2.05,1.25,2.39,3.80,,
September,0.74,1.08,1.58,1.66,1.64,1.02,1.07,0.79,4.06,3.22,,
October,1.65,1.07,3.22,1.43,1.52,1.88,2.86,4.98,3.84,0.99,,
November,3.60,0.48,2.23,5.08,3.42,1.66,1.65,2.92,3.74,2.41,,
December,3.31,3.41,3.34,3.16,4.63,5.82,1.33,1.58,4.10,6.65,,
Total,32.35,17.96,25.61,22.41,27.35,24.93,25.05,19.06,29.02,27.09,,
Calc annual,32.35,17.96,25.61,22.41,27.35,24.93,25.05,19.06,29.02,27.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
