"L. KATRINE STRONE BRIDGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5519,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,6.06,13.50,3.38,7.35,7.02,,
February,,,,,,14.40,8.90,1.50,12.73,0.74,,
March,,,,,,4.23,2.40,3.24,2.53,5.00,,
April,,,,,,5.58,5.47,1.95,1.20,4.43,,
May,,,,,,1.33,5.70,4.08,3.50,2.34,,
June,,,,,,1.93,2.67,3.47,2.85,3.45,,
July,,,,,,3.68,3.80,1.67,3.63,1.90,,
August,,,,,5.03,2.80,4.23,8.82,4.80,4.95,,
September,,,,,2.56,2.45,1.70,5.20,7.72,6.10,,
October,,,,,2.70,6.40,11.70,11.95,9.92,1.44,,
November,,,,,9.78,3.00,8.97,13.07,9.53,7.10,,
December,,,,,12.10,9.30,8.50,3.73,8.03,14.27,,
Total,,,,,,61.16,77.54,62.06,73.79,58.74,,
Calc annual,0.00,0.00,0.00,0.00,32.17,61.16,77.54,62.06,73.79,58.74,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
