"FETTERCAIRN, POLICE STATION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR318,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.36,1.62,5.16,5.41,1.82,3.41,1.90,2.78,2.98,4.16,,
February,3.10,1.01,3.85,1.11,3.34,6.33,3.21,1.31,3.12,2.06,,
March,1.53,2.52,2.09,5.26,4.31,1.89,3.33,3.01,2.00,2.48,,
April,2.85,1.88,0.37,3.26,0.65,0.96,2.40,1.30,0.61,3.57,,
May,2.24,1.55,1.44,5.20,2.77,0.91,3.36,2.31,3.30,1.13,,
June,1.73,2.21,2.31,2.45,0.83,0.53,2.77,1.37,1.30,0.93,,
July,2.61,2.71,2.07,0.69,2.52,4.14,6.70,1.11,5.80,0.72,,
August,7.82,1.32,4.93,1.53,1.77,2.20,3.89,5.72,2.06,3.20,,
September,1.10,1.43,3.21,4.09,1.07,1.93,1.23,3.14,3.89,1.87,,
October,2.58,2.74,4.81,2.02,3.53,5.00,5.91,3.72,2.51,3.08,,
November,4.29,4.16,3.02,1.59,3.91,3.45,5.31,3.01,2.54,4.77,,
December,3.89,7.57,2.86,1.56,6.83,8.65,5.64,0.86,2.56,6.66,,
Total,36.10,30.72,36.12,34.17,33.35,39.40,45.65,29.64,32.67,34.63,,
Calc annual,36.10,30.72,36.12,34.17,33.35,39.40,45.65,29.64,32.67,34.63,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
