"SHARNBROOK CASTLE CLOSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1184,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.88,1.01,3.37,3.12,1.16,2.52,1.46,1.68,2.15,4.08,,
February,2.53,0.91,1.69,0.95,1.37,2.39,4.28,0.71,0.96,2.78,,
March,0.54,1.81,2.09,2.87,3.70,1.26,5.30,1.40,0.63,3.64,,
April,2.14,0.94,0.10,2.68,1.04,0.64,1.27,1.61,3.16,2.00,,
May,2.29,1.43,1.52,2.71,0.99,2.68,1.77,1.89,1.97,0.92,,
June,0.97,1.89,2.84,0.64,2.53,0.92,1.86,2.58,0.44,0.78,,
July,2.18,0.92,3.46,1.00,1.70,4.96,1.58,2.58,3.40,2.41,,
August,2.96,1.08,6.88,0.41,1.25,1.64,3.08,5.18,0.71,2.46,,
September,0.62,1.28,1.22,2.42,1.00,1.46,0.90,2.32,4.52,1.37,,
October,2.05,2.11,2.39,2.20,3.38,1.22,2.02,3.55,1.52,1.18,,
November,3.46,2.73,1.63,1.88,2.15,2.33,3.47,1.03,1.99,1.62,,
December,5.41,4.14,3.07,1.08,5.05,3.89,2.50,0.66,2.08,3.60,,
Total,27.03,20.25,30.26,21.96,25.32,25.91,29.49,25.19,23.53,26.84,,
Calc annual,27.03,20.25,30.26,21.96,25.32,25.91,29.49,25.19,23.53,26.84,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
