"ARKENGARTHDALE SCHOOL HO.",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,,4.54,6.75,,
February,,,,,,,,,5.64,3.22,,
March,,,,,,,,,1.66,5.23,,
April,,,,,,,,,1.39,2.17,,
May,,,,,,,,,1.31,1.53,,
June,,,,,,,,,0.67,1.62,,
July,,,,,,,,,4.79,2.69,,
August,,,,,,,,,4.09,3.46,,
September,,,,,,,,,9.09,2.14,,
October,,,,,,,,,5.69,6.16,,
November,,,,,,,,3.45,2.02,5.61,,
December,,,,,,,,5.00,4.46,6.28,,
Total,,,,,,,,,45.35,46.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.45,45.35,46.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
