"LUCAN, ESKER GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,1.23,2.17,,,,,,
February,,,,,2.92,3.92,,,,,,
March,,,,,1.95,0.82,,,,,,
April,,,,,0.98,1.65,,,,,,
May,,,,,2.25,1.64,,,,,,
June,,,,,0.88,1.73,,,,,,
July,,,,,1.77,5.19,,,,,,
August,,,,,4.98,3.31,,,,,,
September,,,,,1.58,1.23,,,,,,
October,,,,,1.78,3.47,,,,,,
November,,,,,4.56,3.90,,,,,,
December,,,,,6.76,5.23,,,,,,
Total,,,,,31.64,34.26,,,,,,
Calc annual,0.00,0.00,0.00,0.00,31.64,34.26,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
