"HEADLEY RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,127,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,1.22,1.37,3.40,4.51,,
February,,,,,,,5.42,1.09,1.57,2.65,,
March,,,,,,,4.40,1.93,1.10,3.94,,
April,,,,,,,1.03,2.49,3.63,3.18,,
May,,,,,,,2.17,1.70,1.92,0.19,,
June,,,,,,,2.08,1.76,0.98,1.10,,
July,,,,,,,1.36,4.89,5.52,2.29,,
August,,,,,,,3.41,6.58,1.21,2.72,,
September,,,,,,,1.63,1.80,5.33,1.88,,
October,,,,,,,5.13,3.86,1.62,0.78,,
November,,,,,,,6.47,1.44,2.98,2.05,,
December,,,,,,,3.22,1.76,2.75,5.24,,
Total,,,,,,,37.54,30.67,32.01,30.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,37.54,30.67,32.01,30.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
