"EARLSBURN RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5353,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.24,5.00,6.50,5.40,5.17,4.07,9.27,1.83,6.30,3.90,,
February,5.10,9.15,6.30,5.40,6.91,7.30,4.20,1.20,6.90,1.70,,
March,3.87,2.56,7.70,7.70,7.25,4.43,3.88,2.25,2.35,2.25,,
April,5.45,4.70,2.50,4.82,4.20,3.50,4.53,1.58,1.55,2.25,,
May,1.38,3.45,2.40,5.40,2.87,2.08,6.62,4.48,2.95,1.48,,
June,1.30,4.12,7.10,5.50,1.50,1.95,4.38,3.95,1.65,3.97,,
July,6.55,3.20,3.30,1.17,3.50,4.02,4.70,1.75,3.30,1.40,,
August,11.50,4.50,6.45,2.45,5.90,3.92,4.84,6.65,4.30,3.68,,
September,1.50,3.12,3.50,3.76,2.78,2.90,1.90,4.15,8.30,4.38,,
October,3.24,5.80,7.55,4.85,2.66,5.98,10.13,8.55,9.50,1.30,,
November,3.75,8.65,5.80,8.75,8.52,3.30,9.20,8.45,6.62,5.53,,
December,7.80,9.15,12.60,4.64,8.25,8.72,6.24,3.17,6.65,8.75,,
Total,55.68,63.40,71.70,59.84,59.51,52.17,69.89,48.01,60.37,40.59,,
Calc annual,55.68,63.40,71.70,59.84,59.51,52.17,69.89,48.01,60.37,40.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
