"BOLTON SMITHILLS HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2850,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,6.40,1.54,4.68,5.55,3.23,6.60,3.84,3.57,4.35,5.24,,
February,4.80,5.06,1.77,1.66,2.46,4.73,4.84,1.89,5.61,1.13,,
March,0.94,2.34,7.00,5.18,5.49,2.45,1.81,3.40,2.21,7.96,,
April,4.15,4.05,1.12,5.63,1.52,2.43,4.76,2.22,1.21,3.37,,
May,3.83,1.70,3.09,4.01,3.04,1.84,2.48,2.35,2.71,1.74,,
June,3.24,3.60,6.01,3.01,2.15,2.17,4.22,2.46,2.23,2.21,,
July,5.58,0.24,5.67,1.28,5.75,5.05,2.73,2.64,3.71,2.03,,
August,6.50,3.15,8.52,3.06,3.31,5.98,4.12,7.89,4.54,5.05,,
September,0.57,4.10,3.94,2.05,5.19,1.03,4.22,2.67,14.20,2.33,,
October,3.35,3.15,5.71,2.47,3.10,2.27,8.17,9.54,5.57,3.28,,
November,7.54,4.62,3.86,5.01,6.33,2.19,3.28,6.57,3.64,4.24,,
December,4.52,8.36,4.75,3.36,6.82,9.87,3.41,2.62,10.59,8.38,,
Total,51.42,41.91,56.12,42.27,48.39,46.61,47.88,47.82,60.57,46.96,,
Calc annual,51.42,41.91,56.12,42.27,48.39,46.61,47.88,47.82,60.57,46.96,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
