"ST ALBANS HILL END ASYLUM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,923,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.06,1.30,3.49,3.08,0.71,3.88,1.72,1.43,2.74,3.05,,
February,3.33,1.64,1.96,0.81,3.03,4.15,3.54,0.86,1.07,3.70,,
March,1.10,1.96,3.08,2.37,4.13,1.26,4.23,1.44,0.62,3.79,,
April,1.59,1.43,0.06,3.12,0.84,0.94,1.24,2.00,4.17,3.37,,
May,2.09,2.66,1.05,2.11,1.51,2.26,1.69,1.77,2.18,0.49,,
June,3.24,1.98,2.40,0.64,1.45,1.52,2.41,1.51,0.69,1.32,,
July,2.12,0.38,3.95,1.68,1.57,4.71,1.35,3.77,3.11,1.64,,
August,2.19,0.79,5.52,1.04,1.93,2.96,3.67,4.64,1.02,2.12,,
September,0.47,1.42,2.39,0.96,1.11,1.82,1.26,1.74,5.13,2.04,,
October,2.48,2.65,2.94,3.35,1.99,2.29,3.40,4.50,1.54,1.44,,
November,3.75,3.36,2.27,2.73,2.41,1.98,4.23,1.43,2.24,1.43,,
December,4.47,5.38,2.61,0.79,8.21,5.18,2.83,0.73,2.82,4.78,,
Total,28.89,24.95,31.72,22.68,28.89,32.95,31.57,25.82,27.33,29.17,,
Calc annual,28.89,24.95,31.72,22.68,28.89,32.95,31.57,25.82,27.33,29.17,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
