"TIVERTON ST PETER STREET",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.92,1.45,4.72,6.89,1.00,4.65,1.82,1.23,5.90,6.06,,
February,4.41,2.00,3.12,0.94,3.09,5.56,6.97,1.54,1.82,4.79,,
March,0.62,2.37,6.27,4.35,6.61,0.85,3.93,3.89,1.63,5.19,,
April,2.84,2.05,0.26,4.33,2.02,1.14,1.22,1.72,1.87,2.20,,
May,3.29,1.32,1.67,3.38,1.57,2.09,3.31,2.17,1.23,0.58,,
June,2.47,2.21,5.05,1.16,2.11,1.34,2.38,4.15,0.29,0.66,,
July,3.04,0.19,2.84,0.36,4.07,4.05,1.23,2.81,4.43,1.48,,
August,4.54,1.85,6.86,1.27,2.97,3.35,5.27,6.14,3.28,2.94,,
September,0.33,2.19,1.17,1.78,2.81,0.87,3.08,1.78,8.67,2.35,,
October,6.93,4.12,5.39,4.56,3.65,5.33,7.43,6.24,1.57,2.82,,
November,5.76,3.76,1.73,3.73,3.37,2.95,5.75,2.72,3.12,2.94,,
December,6.45,9.61,4.58,2.69,8.62,8.55,4.18,1.09,6.13,6.56,,
Total,45.60,33.12,43.66,35.44,41.89,40.73,46.57,35.48,39.94,38.57,,
Calc annual,45.60,33.12,43.66,35.44,41.89,40.73,46.57,35.48,39.94,38.57,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
