"WORCESTER (WATERWORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2401,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.78,2.25,3.19,1.05,2.78,1.36,2.92,3.19,3.50,1.26,4.10,
February,0.65,0.23,2.51,5.31,0.39,2.37,2.24,2.48,1.64,0.62,0.54,
March,2.70,0.96,1.97,1.43,0.72,0.41,0.46,2.03,2.29,0.06,2.20,
April,3.52,1.15,1.59,2.84,2.82,1.61,1.99,1.15,1.21,0.66,2.52,
May,1.39,1.50,1.33,2.23,6.23,2.95,2.78,1.46,1.33,1.53,2.27,
June,2.46,0.45,0.70,0.24,2.05,0.03,1.13,2.99,2.20,1.87,0.92,
July,5.17,0.60,4.92,2.43,3.12,2.78,1.78,2.83,1.35,1.38,2.59,
August,0.46,2.98,2.96,1.53,2.40,2.13,2.05,3.75,1.80,1.43,3.08,
September,2.10,0.76,2.25,2.08,3.35,3.64,0.56,3.83,0.68,1.04,4.26,
October,2.65,1.83,0.55,3.92,3.73,2.69,2.44,1.55,4.69,4.07,2.43,
November,0.64,2.01,0.93,1.34,3.00,1.53,6.30,2.97,2.42,7.27,2.89,
December,2.10,1.46,3.17,2.35,2.63,2.25,0.40,2.29,1.98,5.35,3.28,
Total,26.62,16.18,26.07,26.75,33.22,23.75,25.05,30.52,25.09,26.54,31.08,
Calc annual,26.62,16.18,26.07,26.75,33.22,23.75,25.05,30.52,25.09,26.54,31.08,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,
