"GLASGOW (BELLAHOUSTON PARK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5207,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.55,6.79,3.56,3.72,4.17,4.46,4.51,5.11,8.17,1.45,4.97,
February,5.07,1.03,3.27,4.60,0.73,3.40,3.68,2.17,3.76,1.91,0.32,
March,4.17,5.57,1.51,1.74,0.65,1.91,2.66,3.09,2.95,0.86,2.74,
April,1.65,0.74,1.65,3.21,2.11,4.11,2.59,2.54,1.01,1.10,1.11,
May,4.54,2.15,2.82,2.26,4.59,6.38,3.20,2.53,2.18,2.66,1.57,
June,2.50,0.63,1.81,1.21,2.16,0.38,2.34,4.31,5.36,3.02,2.93,
July,3.26,3.70,2.68,3.86,3.40,1.77,3.21,3.43,2.24,2.69,3.96,
August,4.50,5.96,3.56,5.58,3.82,3.34,3.69,5.94,3.36,5.93,5.18,
September,2.82,2.17,1.63,5.77,4.29,3.44,3.02,6.29,2.90,1.29,5.27,
October,1.67,4.81,2.02,5.18,3.13,3.25,5.37,4.44,5.73,5.17,5.87,
November,4.03,2.78,2.55,3.56,2.48,0.86,5.83,3.58,4.29,6.32,3.89,
December,3.54,5.46,3.00,3.47,5.81,2.95,1.50,0.95,3.82,7.72,3.75,
Total,42.30,41.79,30.06,44.16,37.34,36.25,41.60,44.38,45.77,40.12,41.56,
Calc annual,42.30,41.79,30.06,44.16,37.34,36.25,41.60,44.38,45.77,40.12,41.56,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
