"NORTHENDEN WYTHENSHAWE HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.41,4.15,3.06,,2.79,,,,,,,
February,2.90,0.44,3.40,,0.72,,,,,,,
March,3.05,2.39,1.85,,0.94,,,,,,,
April,4.39,1.36,2.28,,1.62,,,,,,,
May,4.15,2.26,1.31,,5.31,,,,,,,
June,2.46,0.28,2.56,,2.46,,,,,,,
July,5.88,1.01,3.74,,3.89,,,,,,,
August,1.75,4.19,4.36,,5.31,,,,,,,
September,2.55,1.09,2.66,,3.00,,,,,,,
October,1.40,1.93,0.25,,3.58,,,,,,,
November,0.95,1.98,2.16,,1.27,,,,,,,
December,2.34,4.13,3.89,,3.88,,,,,,,
Total,35.23,25.21,31.52,,34.77,,,,,,,
Calc annual,35.23,25.21,31.52,0.00,34.77,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,-0.00,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
