"TAVISTOCK (RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1654,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,9.02,6.21,7.37,3.94,6.28,6.40,7.24,8.48,9.62,3.00,9.52,
February,1.22,0.45,5.40,11.05,2.38,7.26,3.71,4.31,3.94,1.65,1.67,
March,5.77,4.42,4.84,2.90,2.94,1.13,1.03,6.17,6.27,0.83,3.71,
April,5.29,1.12,5.00,3.91,5.12,3.59,3.22,2.59,1.34,0.96,3.97,
May,2.92,3.06,2.10,2.91,4.68,5.54,2.41,0.80,2.12,5.11,2.53,
June,2.49,0.13,1.35,0.95,3.22,0.23,3.40,3.72,3.26,3.23,1.47,
July,7.18,1.74,5.75,1.44,4.91,4.25,1.80,7.02,2.79,2.35,4.36,
August,2.47,3.60,5.99,4.72,5.74,5.48,3.03,4.24,3.48,4.71,6.50,
September,4.10,1.31,3.64,4.20,6.61,5.73,1.13,7.73,2.12,0.75,6.56,
October,5.39,1.81,2.53,8.62,8.22,6.34,3.65,4.20,8.47,9.76,6.96,
November,3.59,4.79,3.35,4.67,4.61,5.01,12.11,5.32,7.25,17.91,7.28,
December,6.46,3.21,7.74,6.96,8.16,6.64,1.28,5.64,6.39,11.50,5.84,
Total,55.90,31.85,55.06,56.27,62.87,57.60,44.01,60.22,57.05,61.76,60.37,
Calc annual,55.90,31.85,55.06,56.27,62.87,57.60,44.01,60.22,57.05,61.76,60.37,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,
