"ALTHORP PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1115,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.93,2.25,3.74,1.27,2.90,1.31,2.91,2.39,3.88,1.38,3.37,
February,0.74,0.35,1.99,4.64,0.50,2.84,3.23,2.94,1.99,0.60,0.48,
March,2.03,0.83,1.61,1.63,0.50,0.51,0.61,2.08,1.97,0.23,1.88,
April,5.16,1.10,3.25,2.17,2.55,1.98,2.16,1.62,1.61,1.91,2.40,
May,2.29,1.21,1.25,1.29,4.24,2.56,3.33,0.92,0.81,1.63,3.05,
June,3.11,0.38,0.87,0.62,1.96,0.02,2.25,4.05,2.80,1.25,1.07,
July,3.25,0.42,4.37,3.21,3.09,3.52,1.84,3.83,2.18,2.03,3.28,
August,1.21,2.29,5.41,1.15,2.23,1.53,1.28,3.27,2.42,1.14,2.23,
September,1.71,1.85,2.42,2.64,3.06,3.44,2.09,4.51,0.59,0.83,3.84,
October,1.16,0.85,0.77,4.24,3.60,3.31,2.23,2.17,4.36,2.91,1.51,
November,1.94,2.11,1.22,1.83,2.24,1.63,3.61,2.88,3.45,5.63,3.11,
December,2.39,1.69,2.91,2.98,3.44,2.44,0.51,2.29,2.62,4.89,2.36,
Total,27.92,15.33,29.81,27.67,30.31,25.09,26.05,32.95,28.68,24.43,28.58,
Calc annual,27.92,15.33,29.81,27.67,30.31,25.09,26.05,32.95,28.68,24.43,28.58,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
