"CRUMMOCK WATER, LANTHWAITE GREEN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3637,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,10.65,5.00,13.28,2.50,13.60,
February,,,,,,,7.58,11.70,5.85,0.90,0.60,
March,,,,,,,2.50,5.30,5.00,1.50,4.44,
April,,,,,,,5.85,3.90,4.50,3.50,1.30,
May,,,,,,,4.25,3.25,1.50,2.60,2.95,
June,,,,,,,5.30,5.30,5.50,2.55,4.65,
July,,,,,,,5.15,4.85,6.60,7.45,4.30,
August,,,,,,,8.60,4.05,7.50,7.90,11.95,
September,,,,,,,6.60,8.30,5.00,2.30,3.45,
October,,,,,,,7.80,13.25,12.75,12.65,12.55,
November,,,,,,,8.00,3.90,12.40,14.26,8.50,
December,,,,,,,0.76,2.10,7.40,14.00,5.00,
Total,,,,,,,73.04,70.90,87.28,72.11,73.29,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,73.04,70.90,87.28,72.11,73.29,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,
