"TEIGNMOUTH (THE HILL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,3.01,4.42,1.22,,,,,,,,
February,,0.19,3.03,6.88,,,,,,,,
March,,1.46,2.92,1.70,,,,,,,,
April,,0.48,4.01,3.12,,,,,,,,
May,,1.94,0.51,1.60,,,,,,,,
June,,0.31,0.40,0.21,,,,,,,,
July,,0.41,3.43,0.48,,,,,,,,
August,,2.41,3.01,2.55,,,,,,,,
September,,1.02,2.15,2.58,,,,,,,,
October,2.51,1.74,1.33,5.04,,,,,,,,
November,1.77,4.06,2.48,2.32,,,,,,,,
December,4.66,1.25,5.97,2.49,,,,,,,,
Total,,18.28,33.66,30.19,,,,,,,,
Calc annual,8.94,18.28,33.66,30.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
