"DENTON RESERVOIR (OLD GAUGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2933,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.73,4.70,2.46,2.81,2.78,2.17,2.90,3.42,7.83,1.70,3.84,
February,2.86,0.29,3.82,3.96,0.79,5.58,2.96,1.21,3.85,0.81,0.27,
March,2.62,2.31,2.03,1.60,1.01,1.37,1.18,3.40,1.18,0.81,2.45,
April,3.74,1.14,2.47,2.75,1.47,1.68,1.34,2.23,0.84,1.15,1.50,
May,4.68,1.96,1.13,3.05,5.35,3.77,3.12,1.10,0.77,2.21,1.75,
June,2.30,0.36,2.22,0.66,3.09,0.03,2.67,4.61,6.22,1.13,3.48,
July,6.73,0.96,4.18,4.62,3.39,1.71,2.61,3.00,1.66,3.76,5.50,
August,1.83,4.28,3.51,3.55,4.74,3.57,4.44,3.82,5.99,3.76,4.77,
September,2.44,0.93,3.02,3.87,2.97,3.80,3.10,5.47,1.00,1.44,2.40,
October,1.20,2.00,0.20,3.91,4.56,3.95,3.60,2.24,2.94,4.46,4.47,
November,1.02,1.85,2.35,4.55,1.18,2.67,4.46,3.31,4.38,6.91,4.04,
December,2.21,4.03,3.05,3.77,3.27,2.35,1.35,0.65,1.85,5.78,2.44,
Total,35.36,24.81,30.44,39.10,34.60,32.65,33.73,34.46,38.51,33.92,36.91,
Calc annual,35.36,24.81,30.44,39.10,34.60,32.65,33.73,34.46,38.51,33.92,36.91,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
