"WYMONDHAM, SPOONER ROW, WATTLEFIELD HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1405,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.24,2.08,4.65,1.61,2.41,1.36,2.89,2.14,4.03,2.02,2.09,
February,0.66,0.37,2.73,3.46,1.49,2.07,2.15,2.08,1.47,0.56,0.75,
March,1.41,1.13,1.98,1.54,0.89,1.63,0.29,2.07,1.99,0.05,1.35,
April,3.37,1.17,2.54,1.01,2.25,2.16,2.58,1.36,1.49,0.86,2.11,
May,1.99,1.33,0.77,1.38,4.52,2.74,1.64,0.50,1.70,1.01,3.02,
June,1.94,0.36,1.13,0.89,1.73,0.69,3.14,5.19,2.19,0.85,1.20,
July,3.14,0.69,6.26,3.31,2.41,1.86,2.08,2.63,2.06,3.43,3.96,
August,1.90,1.96,1.79,2.88,2.96,3.16,1.89,3.43,1.77,1.04,2.67,
September,2.56,1.28,3.16,2.03,3.94,2.97,0.71,3.39,0.65,0.70,5.12,
October,0.84,1.43,0.93,3.63,4.83,2.12,2.65,2.50,2.35,3.21,0.85,
November,0.83,1.70,1.93,2.76,1.65,3.48,3.36,4.13,2.20,3.44,3.91,
December,3.20,1.71,2.59,2.89,2.58,2.17,0.95,2.61,3.09,5.21,2.16,
Total,24.08,15.21,30.46,27.39,31.66,26.41,24.33,32.03,24.99,22.38,29.19,
Calc annual,24.08,15.21,30.46,27.39,31.66,26.41,24.33,32.03,24.99,22.38,29.19,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,
