"WESTRAY, NOUP HEAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR128,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.72,5.00,2.68,4.73,2.81,2.18,,2.70,2.29,2.32,1.59,
February,3.83,1.32,2.07,4.42,1.56,3.41,,1.42,1.59,0.79,1.09,
March,3.11,3.16,1.77,0.46,2.02,1.41,,1.83,1.49,0.66,2.17,
April,1.68,1.56,2.21,1.96,2.81,1.66,,3.09,0.84,1.44,1.48,
May,2.15,2.54,2.31,2.97,1.14,1.58,,1.10,1.33,0.88,1.19,
June,0.78,1.99,1.34,1.02,1.92,0.82,,2.08,1.57,1.39,0.94,
July,3.27,1.96,2.19,2.97,2.09,1.49,,0.97,2.00,1.25,1.36,
August,1.18,2.02,1.81,2.96,1.88,1.42,,1.04,0.52,2.99,4.63,
September,3.26,2.41,1.96,4.01,4.39,1.59,,1.90,2.06,2.23,3.48,
October,0.70,3.23,1.74,4.04,2.54,3.42,,2.94,2.01,2.59,3.40,
November,3.07,2.13,2.02,4.84,2.38,1.46,,1.93,4.42,2.44,3.07,
December,2.91,5.47,3.61,2.86,3.65,1.60,,1.58,2.32,2.79,1.76,
Total,29.66,32.79,25.71,37.24,29.19,22.04,,22.58,22.44,21.77,26.16,
Calc annual,29.66,32.79,25.71,37.24,29.19,22.04,0.00,22.58,22.44,21.77,26.16,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,0.00,0.00,0.00,0.00,
