"KENDAL, BURNESIDE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3720,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,7.56,6.80,15.10,2.22,10.45,
February,,,,,,,8.19,4.46,7.37,1.78,0.53,
March,,,,,,,3.28,5.35,5.60,1.33,3.54,
April,,,,,,,2.30,3.09,2.32,2.50,2.49,
May,,,,,,,2.12,2.69,0.68,3.35,2.17,
June,,,,,,,3.90,3.94,7.42,2.65,2.87,
July,,,,,,,4.85,5.37,8.54,5.88,3.85,
August,,,,,,,4.59,7.31,8.42,8.57,6.33,
September,,,,,,,5.11,8.30,4.43,2.81,3.45,
October,,,,,,,4.26,5.97,8.57,7.58,10.29,
November,,,,,,,8.26,7.40,9.94,11.73,6.62,
December,,,,,,,1.46,1.15,5.55,10.06,6.20,
Total,,,,,,,55.88,61.83,83.94,60.46,58.79,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,55.88,61.83,83.94,60.46,58.79,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,
