"BANFF, DUFF HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.37,2.25,3.62,,,,,,,,,
February,1.35,0.63,2.31,,,,,,,,,
March,2.45,1.79,1.99,,,,,,,,,
April,1.99,0.91,3.48,,,,,,,,,
May,2.25,1.65,1.49,,,,,,,,,
June,1.15,1.42,2.28,,,,,,,,,
July,1.98,2.00,3.30,,,,,,,,,
August,2.28,3.29,1.79,,,,,,,,,
September,2.85,1.36,2.19,,,,,,,,,
October,1.69,1.97,1.56,,,,,,,,,
November,1.51,1.70,2.61,,,,,,,,,
December,1.50,2.26,1.55,,,,,,,,,
Total,22.37,21.23,28.17,,,,,,,,,
Calc annual,22.37,21.23,28.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
