"BITTERLEY RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2269/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.07,2.57,3.12,1.22,2.60,3.00,3.21,3.67,4.25,0.97,3.96,
February,0.97,0.37,3.29,4.66,0.33,3.87,2.36,2.80,2.06,0.27,0.67,
March,2.49,1.64,3.38,1.30,1.01,0.87,0.41,3.18,2.03,0.08,2.47,
April,4.17,1.45,2.32,2.36,2.90,1.84,2.29,1.74,1.25,1.06,2.86,
May,2.11,0.97,0.74,1.12,6.48,3.43,3.09,1.32,1.22,2.19,2.00,
June,2.70,0.37,0.88,0.38,2.40,0.11,1.73,4.41,3.38,2.69,1.16,
July,4.31,0.53,3.51,3.04,4.31,2.47,2.27,2.36,1.20,2.09,3.02,
August,1.26,4.01,2.13,2.05,3.06,1.93,1.85,4.79,3.17,1.47,2.43,
September,2.16,0.86,2.01,1.31,4.59,3.78,1.14,4.56,1.21,0.76,2.80,
October,2.45,2.01,0.69,3.77,4.28,3.90,3.07,2.44,5.00,4.19,2.19,
November,0.80,2.21,1.40,1.29,2.11,2.12,6.84,3.97,3.84,5.25,2.11,
December,2.48,1.75,2.77,2.89,4.64,3.22,0.71,2.09,2.25,5.11,2.44,
Total,28.97,18.74,26.24,25.39,38.71,30.54,28.97,37.33,30.86,26.13,28.11,
Calc annual,28.97,18.74,26.24,25.39,38.71,30.54,28.97,37.33,30.86,26.13,28.11,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,
