"OGMORE VALE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4072,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,3.92,13.96,
February,,,,,,,,,,3.14,1.05,
March,,,,,,,,,,2.71,3.52,
April,,,,,,,,,,1.12,5.18,
May,,,,,,,,,,6.66,4.45,
June,,,,,,,,,,4.80,3.44,
July,,,,,,,,,,6.94,6.95,
August,,,,,,,,,,9.20,8.71,
September,,,,,,,,,,1.68,9.29,
October,,,,,,,,,,13.29,13.56,
November,,,,,,,,,,22.29,10.70,
December,,,,,,,,,,16.52,8.93,
Total,,,,,,,,,,92.27,89.74,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.27,89.74,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,
