"BOLTON ABBEY ESTATE OFFICE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3333,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.91,6.43,4.51,3.25,2.56,3.96,4.00,3.66,7.28,2.10,5.95,
February,3.26,0.34,4.42,5.94,1.03,5.54,3.51,1.45,4.62,0.82,0.97,
March,3.04,2.45,2.99,2.11,1.21,1.13,1.88,3.48,3.52,0.41,2.21,
April,4.43,1.44,2.89,2.67,1.80,3.25,1.63,3.60,0.97,1.43,3.55,
May,3.39,1.61,1.30,3.81,5.03,5.85,3.35,1.60,1.65,1.96,1.66,
June,2.26,0.19,1.96,0.87,1.94,0.05,2.86,3.28,5.06,1.13,2.11,
July,5.64,2.39,5.08,3.63,4.12,1.37,2.55,3.81,1.46,3.39,4.64,
August,2.87,4.55,4.73,4.68,4.53,4.64,4.37,7.01,5.09,3.32,4.02,
September,1.39,1.82,4.28,3.65,3.81,3.03,3.29,4.28,0.74,1.38,3.53,
October,2.54,2.27,0.77,5.46,4.15,4.24,4.66,4.11,4.58,4.61,4.54,
November,2.64,2.75,1.93,4.69,2.76,2.95,6.38,3.81,4.65,5.25,4.19,
December,3.76,5.24,3.72,3.26,3.81,4.41,1.76,2.41,2.64,7.45,3.50,
Total,40.13,31.48,38.58,44.02,36.75,40.42,40.24,42.50,42.26,33.25,40.87,
Calc annual,40.13,31.48,38.58,44.02,36.75,40.42,40.24,42.50,42.26,33.25,40.87,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
