"KENTCHURCH SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2219,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.38,6.41,
February,,,,,,,,,,0.98,0.85,
March,,,,,,,,,,0.14,3.45,
April,,,,,,,,,,1.09,3.29,
May,,,,,,,,,,3.27,1.28,
June,,,,,,,,,,1.99,0.67,
July,,,,,,,,,,2.28,3.07,
August,,,,,,,,,,1.50,3.50,
September,,,,,,,,,,1.20,4.51,
October,,,,,,,,,,5.67,3.44,
November,,,,,,,,,,9.97,4.20,
December,,,,,,,,,,8.07,4.73,
Total,,,,,,,,,,37.54,39.40,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.54,39.40,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,
